Reported Calls for: Apr-15-11am

Agent, Computer Name, Duration of Call, LOB, Type, Message,
agonzales,ausrcb0061a,23 min,FXRS,Café,BPU Tech Ticket
rmcneil,ausrcwa059,21 min,FXRS,FSMS,Upgrade to 1501
macampbell,ausrcwa049,15 min,FXRS,FXCT,LTL freight rate quote trouble
rmcneil,ausrcwa059,13 min,FXRS,WIS,Shipping question
macampbell,ausrcwa049,13 min,FXRS,FSMS,System time in Server
rmcneil,ausrcwa059,8.4 min,Café,Misdirect,Wrong que Printer issue
rmcneil,ausrcwa059,5.3 min,FXRS,Café,Client opening the FXCT not the FSM
mbarth,ausrca0058,5 min,FXRS,WIS,ae cert questions
mbarth,ausrca0058,5 min,FXRS,WIS,needs something extra on front end
mbarth,ausrca0058,5 min,FXRS,WIS,commodities to puerto rico
macampbell,ausrcwa049,3 min,Café,Café,Questions about zp 505 printer
macampbell,ausrcwa049,3 min,Café,Café,transfer to Beta team
