Reported Calls for: Apr-21-11am

Agent, Computer Name, Duration of Call, LOB, Type, Message,
dneal,ausrca0098,35 min,FXRS,FSMS,Needs Clean Load
agonzales,ausrcb0061a,20 min,FXRS,FSMS,add new meter
ahendon,ausrca0069,20 min,FXRS,FSMS,Error inserting record ( escalated)
ahendon,ausrca0069,18 min,Café,Café,software installation assistance
ahendon,ausrca0069,13 min,FXRS,WIS,General questions about certification
ahendon,ausrca0069,13 min,FXRS,WIS,WS credentials (obtained)
ahendon,ausrca0069,13 min,FXRS,WIS,Credentials confirmed ( Password )
macampbell,ausrcwa049,12 min,FXRS,Café,Troubleshoot WIS transaction
ahendon,ausrca0069,12 min,Café,Café,Software download request (key emailed)
rmcneil,ausrcwa059,9.5 min,FXRS,Café,Hardware removal
chkelley,ausrca0055,4 min,FXRS,FSMS,zip code requirement for south korea
chkelley,ausrca0055,4 min,FXRS,FSMS,WIS registration
ahendon,ausrca0069,04 min,FXRS,Misdirect,Transferred to .COM
rmcneil,ausrcwa059,4 min,FXRS,Café,Special Charges
agonzales,ausrcb0061a,3 min,FXRS,WIS,WIS domestic general inquire
rmcneil,ausrcwa059,2.1 min,Café,Misdirect,Schedule pickup online
