Reported Calls for: Apr-26-1pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
rmcneil,ausrcwa059,65 min,FXRS,FSMS,Unable to register child meter
gdeharo,ausrca0227,51 min,Café,Café,install zp 505/rate issues
agonzales,ausrcb0061a,40 min,Café,Café,2844 printer install
jpinion,ausrca0056,36 min,Café,Café,new software setup
mbarth,ausrca0058,20 min,FXRS,Café,comms uplaods
mbarth,ausrca0058,20 min,Café,Café,fxi
wcrosby,ausrca0071,15 min,FXRS,WIS,wis registration
rmcneil,ausrcwa059,14 min,Café,Café,Printer not printing
gdeharo,ausrca0227,14 min,Café,Café,issue with zp 2844.
cdriskell,ausrca0064,13 min,Café,Café,FXIA batch dims issue
rmcneil,ausrcwa059,12 min,FXRS,WIS,Needed information about cert process
jpinion,ausrca0056,12 min,Café,Café,issues with new software install
gdeharo,ausrca0227,11 min,Café,Café,hazmat shipping label assistance
cdriskell,ausrca0064,11 min,FXRS,FSMS,Error -39 rates expired
mbarth,ausrca0058,10 min,FXRS,Café,needs fxia and web serv
wcrosby,ausrca0071,10 min,FXRS,WIS,cust need the smartpost hub ID
gdeharo,ausrca0227,10 min,FXRS,Café,host/client issue had to reset network
gdeharo,ausrca0227,10 min,Café,Café,Wanted to add ltl acct to system
mbarth,ausrca0058,10 min,FXRS,FSMS,error on front end
mbarth,ausrca0058,10 min,FXRS,WIS,drc reg
gdeharo,ausrca0227,9 min,FXRS,WIS,rate questions
jpinion,ausrca0056,8 min,FXRS,FSMS,issues with printer setup tech
jpinion,ausrca0056,8 min,Café,Café,issues with EOD reports
gdeharo,ausrca0227,7 min,FXRS,FSMS,add acct to server
jpinion,ausrca0056,7 min,FXRS,FXCT,new setup
cdriskell,ausrca0064,7 min,FXRS,WIS,ShipStation CSP setup
rhagemann,ausrca0054,6.5 min,FXRS,FSMS,TransEdit Fields
cdriskell,ausrca0064,6 min,Café,Café,Int'l DG to CA
mbarth,ausrca0058,5 min,FXRS,Café,software req
rhagemann,ausrca0054,5 min,FXRS,WIS,DRC Registration
rhagemann,ausrca0054,5 min,FXRS,WIS,Tracking with WIS
mbarth,ausrca0058,5 min,FXRS,FSMS,etd to mexico
jpinion,ausrca0056,5 min,FXRS,WIS,issues with getting creds
gdeharo,ausrca0227,5 min,FXRS,FSMS,TLS update patch questions
gdeharo,ausrca0227,5 min,FXRS,WIS,wanted to know what their key was
jpinion,ausrca0056,5 min,FXRS,FSMS,issues with international rates
jpinion,ausrca0056,5 min,Café,Café,issues with email return labels
cdriskell,ausrca0064,5 min,FXRS,Café,OMX scale not working
cdriskell,ausrca0064,5 min,FXRS,FSMS,Turn on Gnd 1D
rhagemann,ausrca0054,4.5 min,Café,Café,TSR Request via AE
rhagemann,ausrca0054,4 min,Café,Café,TSR Request for BPU
rhagemann,ausrca0054,4 min,Café,Café,Air Freight Assist
gdeharo,ausrca0227,4 min,FXRS,Café,issue communication/internet down
gdeharo,ausrca0227,4 min,FXRS,WIS,Register for credentials.
rmcneil,ausrcwa059,4 min,Café,Café,Reports from the software
cdriskell,ausrca0064,4 min,FXRS,Café,Tax ID needed
cdriskell,ausrca0064,4 min,FXRS,FXCT,Batch rating
rhagemann,ausrca0054,3 min,Café,Café,Disconnect before transfer
rhagemann,ausrca0054,3 min,FXRS,FSMS,Bad Account Registration
rhagemann,ausrca0054,3 min,FXRS,Misdirect,Pickup / Cust Service
rhagemann,ausrca0054,3 min,FXRS,Café,FXIA Intergration
rhagemann,ausrca0054,3 min,FXRS,Misdirect,Domestic
jpinion,ausrca0056,3 min,Café,Misdirect,to dot.com
jpinion,ausrca0056,3 min,Café,Misdirect,to dot.com
jpinion,ausrca0056,3 min,Café,Café,issues with return rates
rhagemann,ausrca0054,2 min,FXRS,Misdirect,Domestic
rhagemann,ausrca0054,2 min,Café,Café,disconnect
rmcneil,ausrcwa059,.35 min,Café,Misdirect,Dot.com
rmcneil,ausrcwa059,.15 min,FXRS,FSMS,Line test
