Reported Calls for: Apr-5-8am

Agent, Computer Name, Duration of Call, LOB, Type, Message,
rhagemann,ausrca0054,120 min,FXRS,Café,Clean Load
rhagemann,ausrca0054,25 min,Café,Café,Writing as deleted
cdriskell,ausrca0064,20 min,FXRS,FSMS,Non-comm meter
rhagemann,ausrca0054,16 min,Café,Café,Writing as Deleted
cdriskell,ausrca0064,12 min,FXRS,WIS,needed zone tables for CA
rhagemann,ausrca0054,10 min,FXRS,Misdirect,Rating Inquiry / Customer Service
rmcneil,ausrcwa059,8 min,Café,Café,Printer Paused
rmcneil,ausrcwa059,7.2 min,FXRS,WIS,Not supported
rhagemann,ausrca0054,6 min,FXRS,WIS,Issues Processing Shipment
rhagemann,ausrca0054,5.5 min,FXRS,Misdirect,Dotcom
rmcneil,ausrcwa059,5 min,FXRS,WIS,Wanted information about plug ins
rhagemann,ausrca0054,5 min,FXRS,FSMS,Printer z4m
rhagemann,ausrca0054,5 min,FXRS,WIS,DRC Assist
rmcneil,ausrcwa059,4 min,Café,Café,URSA expired
rmcneil,ausrcwa059,3.1 min,FXRS,WIS,Wanted the site
rhagemann,ausrca0054,3 min,FXRS,WIS,Prod Creds for Rates
rhagemann,ausrca0054,3 min,FXRS,WIS,Zip - State Mismatch
rhagemann,ausrca0054,3 min,FXRS,WIS,Test Cred Failure
rmcneil,ausrcwa059,2.3 min,FXRS,Misdirect,Dot.com
