Reported Calls for: Aug-10-3pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
agonzales,ausrca0056,120 min,FXRS,Café,Client writing as deleted
macampbell,ausrca0057,62 min,FXRS,FSMS,Smartpost rates
rhagemann,ausrca0050,44 min,Café,Café,Writing as Deleted
ianderson,auswlspigelmire,25 min,FXRS,FSMS,failed update feature download
rmcneil,ausrcb0061a,18 min,FXRS,WIS,Question about certification
aljohnson,ausrca0058,12 min,FXRS,FSMS,Installation of 1308
mbarth,auswrca0230,10 min,FXRS,FSMS,mru walkthrough
chkelley,ausrca0055,10 min,FXRS,WIS,certification
aljohnson,ausrca0058,8 min,FXRS,FSMS,Adding child meter
macampbell,ausrca0057,7 min,FXRS,WIS,Transaction errors
pgarza,ausrcwb148,7 min,Café,Café,Printer Replacement
chkelley,ausrca0055,7 min,Café,Café,software download request
pgarza,ausrcwb148,7 min,Café,Café,Downloading Smartpost Rates
mbarth,auswrca0230,5 min,FXRS,FSMS,hardeare printer tech tix
mbarth,auswrca0230,5 min,FXRS,Café,eod reprot??
mbarth,auswrca0230,5 min,FXRS,WIS,drc reports function
pgarza,ausrcwb148,3 min,Café,Café,EOD Question
rhagemann,ausrca0050,1 min,FXRS,Misdirect,Empty Line
mbarth,auswrca0230,.5 min,FXRS,WIS,disconnect
pgarza,ausrcwb148,0 min,FXRS,FSMS,Disconnect
