Reported Calls for: Aug-10-5pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
agonzales,ausrca0056,45 min,FXRS,WIS,label certification
bdecker,auswssepeda,32 min,FXRS,WIS,CSP registration failure
sroberts,ausrca0072,23 min,FXRS,WIS,Assist w/Web Svcs Cert. Process
pgarza,ausrcwb148,18 min,FXRS,WIS,CSP Registration Outage
macampbell,ausrca0057,15 min,FXRS,FSMS,Home delivery transactions
rhagemann,ausrca0050,10 min,Café,Café,Validation
rhagemann,ausrca0050,8 min,FXRS,WIS,Cert Request
macampbell,ausrca0057,8 min,Café,Café,Download FSM, Canada acct
aljohnson,ausrca0058,7 min,Café,Café,Cust needed help with shipping S/P
mbarth,auswrca0230,5 min,FXRS,WIS,drc cert fucntions
mbarth,auswrca0230,5 min,FXRS,WIS,drc reg through csp
mbarth,auswrca0230,5 min,FXRS,WIS,pallet rate
macampbell,ausrca0057,5 min,FXRS,WIS,Authentication failed
sroberts,ausrca0072,4 min,FXRS,WIS,Bad connection/cust. will call back.
macampbell,ausrca0057,1 min,FXRS,FSMS,disconnect
macampbell,ausrca0057,1 min,FXRS,FSMS,disconnect
