Reported Calls for: Aug-10-9am

Agent, Computer Name, Duration of Call, LOB, Type, Message,
gdeharo,ausrcwa043,120 min,Café,Café,manually uninstall with regedit
agonzales,ausrca0056,45 min,FXRS,FSMS,ursa updates
rmcneil,ausrca0229,24 min,FXRS,FSMS,Needed new server software
agonzales,ausrca0056,20 min,FXRS,FSMS,URSA not implementing
aljohnson,ausrca0057,17 min,Café,FSMS,Communication..EOD
ianderson,auswlspigelmire,17 min,FXRS,FSMS,ursa issues
chkelley,ausrca0055,10 min,FXRS,FSMS,communication failure
mbarth,auswrca0230,10 min,FXRS,WIS,drc cert req
chkelley,ausrca0055,10 min,FXRS,FXCT,add ltl account to fxct
mbarth,auswrca0230,10 min,FXRS,WIS,test creds no kb
mbarth,auswrca0230,10 min,FXRS,FXCT,install code
macampbell,ausrcwa049,10 min,FXRS,Café,Hardware questions
mbarth,auswrca0230,10 min,FXRS,Café,db import csv
ianderson,auswlspigelmire,9 min,Café,Café,backup, restore
ianderson,auswlspigelmire,8 min,Café,Café,Credit Privileges Suspended
rmcneil,ausrca0229,7 min,FXRS,WIS,Starship failed registering account
mbarth,auswrca0230,7 min,FXRS,WIS,rates ltl
chkelley,ausrca0055,7 min,FXRS,FXCT,install fxct
aljohnson,ausrca0057,6 min,FXRS,FSMS,Communication issue..IT needed
rmcneil,ausrca0229,6 min,FXRS,Café,Turn off end of days report printing
mbarth,auswrca0230,5 min,Café,Café,labels last how long
macampbell,ausrcwa049,5 min,Café,Café,Download rates
mbarth,auswrca0230,5 min,FXRS,Café,add meters in canada
aljohnson,ausrca0057,3 min,FXRS,Misdirect,misdirect
aljohnson,ausrca0057,2 min,FXRS,Misdirect,misdirect
mbarth,auswrca0230,.5 min,FXRS,WIS,empty
