Reported Calls for: Aug-11-10am

Agent, Computer Name, Duration of Call, LOB, Type, Message,
ianderson,auswlspigelmire,40 min,Café,Café,install link not launching
agonzales,ausrca0056,30 min,FXRS,Registration,meter registration
macampbell,ausrca0057,23 min,Café,Café,Freezing on EOD close
aljohnson,ausrca0058,20 min,Café,Café,cust wanted to update his client
rmcneil,ausrcb0061a,16 min,FXRS,FSMS,SAS failed in bay 1
ahendon,ausrca0069,16 min,FXRS,WIS,WS registration validation
mbarth,auswrca0230,15 min,FXRS,Café,rates
aljohnson,ausrca0058,12 min,Café,Café,ursa expired..comm issues..IT needed
gdeharo,ausrcwa043,11 min,FXRS,WIS,FICE shipment assistance.
ahendon,ausrca0069,11 min,Café,Café,Email Notifications.Escalation required
macampbell,ausrca0057,11 min,FXRS,WIS,Get production credentials
gdeharo,ausrcwa043,11 min,FXRS,Café,TIS call
macampbell,ausrca0057,10 min,Café,Café,DG 1421Cs not printing
ahendon,ausrca0069,10 min,Café,Café,Tech Ticket
agonzales,ausrca0056,10 min,Café,Café,server / client install
ahendon,ausrca0069,9 min,Café,Café,Download Request Software
mbarth,auswrca0230,7 min,FXRS,FSMS,documentation
aljohnson,ausrca0058,7 min,FXRS,FSMS,certification
mbarth,auswrca0230,7 min,Café,WIS,drc reg
gdeharo,ausrcwa043,7 min,FXRS,FSMS,general questions about 14xx known issue
macampbell,ausrca0057,7 min,FXRS,FSMS,Enable 1D barcode
gdeharo,ausrcwa043,6 min,FXRS,WIS,general questions
gdeharo,ausrcwa043,5 min,FXRS,Misdirect,dot com caller
mbarth,auswrca0230,5 min,Café,Café,told her cafe scheudles no PUs
gdeharo,ausrcwa043,5 min,FXRS,FSMS,general questions about comm
mbarth,auswrca0230,5 min,FXRS,FSMS,tracking nubmers not laoding?
mbarth,auswrca0230,5 min,FXRS,Café,internet connection
mbarth,auswrca0230,5 min,FXRS,FXCT,quote nubmer?
agonzales,ausrca0056,5 min,Café,Café,create shipment
agonzales,ausrca0056,5 min,FXRS,FSMS,inquire about FSMS install
aljohnson,ausrca0058,4 min,FXRS,FSMS,Update label type ot 1d
gdeharo,ausrcwa043,4 min,FXRS,FSMS,register for test credentials
gdeharo,ausrcwa043,2 min,Café,Misdirect,dot com caller
aljohnson,ausrca0058,2 min,Café,Misdirect,misdirect
rmcneil,ausrcb0061a,1 min,FXRS,WIS,Customer hung up
mbarth,auswrca0230,.5 min,FXRS,WIS,line disconnected no kb
