Reported Calls for: Aug-12-11am

Agent, Computer Name, Duration of Call, LOB, Type, Message,
dneal,ausrca0098,43 min,FXRS,FSMS,Ursa issue
macampbell,ausrca0057,25 min,FXRS,WIS,Troubleshoot smartpost requests
bdecker,auswssepeda,23 min,FXRS,FSMS,1d flag enablement
gdeharo,ausrca0050,22 min,FXRS,WIS,Issues with certification
mbarth,auswrca0230,17 min,FXRS,WIS,cert and smartpost questions
mbarth,auswrca0230,17 min,FXRS,WIS,cert and smartpost questions
cdriskell,auswidf1d62,16 min,Café,Café,CIC onsite esc Shipment Receipt
ianderson,auswlspigelmire,15 min,FXRS,FSMS,invalid service type smartpost
rmanley,ausrca0054,10 min,FXRS,FXCT,FXCT install
ahendon,ausrca0069,10 min,FXRS,WIS,Estimated Duties reference info
mbarth,auswrca0230,10 min,FXRS,WIS,rates
cdriskell,auswidf1d62,9 min,FXRS,WIS,WIS FIMS support
ianderson,auswlspigelmire,8 min,Café,Café,zp505 install
ianderson,auswlspigelmire,8 min,Café,Café,payment type for ltl freight
anewman,ausrca0074,8 min,Café,Café,International shipment
cdriskell,auswidf1d62,6 min,FXRS,FXCT,AE needs FXCT for customer
ianderson,auswlspigelmire,6 min,FXRS,WIS,label certification
gdeharo,ausrca0050,5 min,FXRS,Café,system won't start up disc error tech ti
cdriskell,auswidf1d62,3 min,FXRS,Misdirect,needed Dom CS for PRP
