Reported Calls for: Aug-12-2pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
chkelley,ausrca0055,40 min,FXRS,FSMS,rates not showing
cdriskell,auswidf1d62,30 min,FXRS,WIS,reinstall ZP505
gdeharo,ausrca0050,25 min,FXRS,WIS,register/certified for credentials.
anewman,ausrca0074,20 min,FXRS,FSMS,Server upgrade to 15.03
anewman,ausrca0074,15 min,Café,Café,FXI -Data source
anewman,ausrca0074,15 min,FXRS,Registration,webservices registeration
rhagemann,ausrcwa043,14 min,FXRS,FXCT,Install / Config
rhagemann,ausrcwa043,11 min,FXRS,WIS,2x Cert Request
macampbell,ausrca0057,10 min,FXRS,WIS,Test credentials, certification question
wcrosby,ausrca0071,10 min,FXRS,FSMS,label  type  setting to 1D
bdecker,auswssepeda,8 min,Café,Café,printer installation
cdriskell,auswidf1d62,8 min,FXRS,WIS,WIS label certification
rhagemann,ausrcwa043,7.5 min,FXRS,FSMS,Invalid Tracking Range
cdriskell,auswidf1d62,7 min,Café,Café,Product key for CIC
gdeharo,ausrca0050,6 min,FXRS,FSMS,printer issue poor print quality
anewman,ausrca0074,5 min,Café,Café,Smartpost Enablement
rhagemann,ausrcwa043,4.5 min,FXRS,WIS,Creds Reg / Volusion
gdeharo,ausrca0050,3 min,FXRS,Misdirect,dot com caller
rhagemann,ausrcwa043,2 min,Café,Café,FSM Inquiry
rhagemann,ausrcwa043,1 min,FXRS,Misdirect,Dotcom / FSM Lite
