Reported Calls for: Aug-15-2pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
dneal,ausrca0098,61 min,Café,Café,Repair
jzamora,ausrcwa049,60 min,FXRS,WIS,webservices./Smartpost req
rhagemann,ausrcwa043,46 min,FXRS,Café,Admin Srvc Removed / Repair
pgarza,ausrcwb148,33 min,FXRS,FSMS,v16.01 Meter Registration Escalation
rhagemann,ausrcwa043,30 min,FXRS,Café,FSM Install / Reg Failed
gdeharo,ausrca0050,18 min,FXRS,Café,web services blocked ETD issue
anewman,ausrca0074,18 min,FXRS,Café,Admin service not functioning
ianderson,auswlspigelmire,15 min,FXRS,WIS,certification request
pgarza,ausrcwb148,15 min,FXRS,FSMS,FSMS Meter Registration
anewman,ausrca0074,15 min,FXRS,WIS,Authentication Failed
rmcneil,ausrcb0061a,14 min,FXRS,WIS,Service codes
pgarza,ausrcwb148,12 min,FXRS,WIS,WIS Error Message
sroberts,ausrca0072,12 min,FXRS,Café,Anti-virus interfering w/Admin Svc
sroberts,ausrca0072,12 min,FXRS,Café,Cust. called to get CIC WR status
anewman,ausrca0074,10 min,FXRS,FXCT,Registration error
rhagemann,ausrcwa043,9.5 min,Café,Café,iSell to locate printer
anewman,ausrca0074,9 min,FXRS,FSMS,customer disconnected
macampbell,ausrca0057,8 min,FXRS,WIS,Confirm meter is enabled to ship
pgarza,ausrcwb148,7 min,FXRS,MisdirectMisdirect
mbarth,auswrca0230,6 min,FXRS,WIS,tech tix printer
gdeharo,ausrca0050,5 min,FXRS,Misdirect,dot com caller
mbarth,auswrca0230,5 min,FXRS,WIS,smartpsot returns
mbarth,auswrca0230,5 min,FXRS,WIS,drc reg address
mbarth,auswrca0230,5 min,FXRS,WIS,tech tix scale
mbarth,auswrca0230,5 min,FXRS,WIS,thrid party software registration
mbarth,auswrca0230,5 min,FXRS,WIS,fxct fail
anewman,ausrca0074,5 min,FXRS,FSMS,Misdirected to dotcom
mbarth,auswrca0230,5 min,FXRS,Café,haz mat papers
sroberts,ausrca0072,2 min,FXRS,WIS,Caller Hung Up
sroberts,ausrca0072,2 min,Café,Café,Cust. will call back w/info
pgarza,ausrcwb148,2 min,FXRS,FSMS,FSMS Coding Question
