Reported Calls for: Aug-15-9am

Agent, Computer Name, Duration of Call, LOB, Type, Message,
chkelley,ausrca0055,70 min,FXRS,FSMS,unable download update features / sp tn
ahendon,ausrca0069,67 min,Café,Café,Upgrade of FSM
gdeharo,ausrca0050,45 min,FXRS,Café,issue opening had to update software
agonzales,ausrca0056,30 min,FXRS,FSMS,Smartpost tracking not implementing
rmcneil,ausrcb0061a,27 min,Café,Café,Software would not launch
gdeharo,ausrca0050,25 min,FXRS,FXCT,register for tool escalated up
dneal,ausrca0098,17 min,FXRS,Café,Printer issues
aljohnson,ausrca0058,17 min,Café,FSMS,Dataimport/fxia
rhagemann,ausrcwa043,17 min,FXRS,FXCT,Authentication Failure when Registering
gdeharo,ausrca0050,15 min,Café,Café,printer zp 505 install assistance
macampbell,ausrca0057,15 min,FXRS,WIS,Transaction errors
ahendon,ausrca0069,12 min,FXRS,FSMS,Smartpost tracking
gdeharo,ausrca0050,10 min,FXRS,FSMS,TLS Patch questions
macampbell,ausrca0057,10 min,Café,Café,Shipmanager server is not responding
mbarth,auswrca0230,5 min,FXRS,Café,needs ship dry ice israel
mbarth,auswrca0230,5 min,Café,Café,tracking numbwers
mbarth,auswrca0230,5 min,FXRS,Café,select dg printer
mbarth,auswrca0230,5 min,FXRS,WIS,pu function
macampbell,ausrca0057,5 min,FXRS,Café,Upgrade questions
rhagemann,ausrcwa043,5 min,FXRS,WIS,Update Address
macampbell,ausrca0057,4 min,FXRS,WIS,Meter not enabled to ship yet
rhagemann,ausrcwa043,3.5 min,FXRS,FSMS,Previous Case Update
macampbell,ausrca0057,3 min,FXRS,WIS,WIS questions
mbarth,auswrca0230,2 min,Café,Misdirect,needs ,com
rhagemann,ausrcwa043,.5 min,FXRS,WIS,Empty Line
