Reported Calls for: Aug-16-10am

Agent, Computer Name, Duration of Call, LOB, Type, Message,
ianderson,auswlspigelmire,90 min,Café,Café,stuck on initializing
gdeharo,ausrca0050,77 min,FXRS,Café,Kapersky deleted admin service upgraded
mbarth,auswrca0230,47 min,FXRS,Café,network client error
agonzales,ausrca0056,45 min,Café,Café,Kaspersky...Modify
rhagemann,ausrcwa043,42 min,FXRS,Café,Admin Srvc Removed / Repair
rmcneil,ausrcb0061a,40 min,FXRS,Café,Anti-virus removed fedex services
macampbell,ausrca0057,40 min,Café,Café,Transmission file CD error
rhagemann,ausrcwa043,38 min,Café,Café,DG Express Freight
gdeharo,ausrca0050,36 min,FXRS,Café,Kapersky deletes admin srv repair needed
dneal,ausrca0098,35 min,FXRS,Café,Clean Load
rmcneil,ausrcb0061a,35 min,FXRS,Café,Anti-Virus stopped services
gdeharo,ausrca0050,32 min,FXRS,Café,admin srv eaten by kasperky virus
chkelley,ausrca0055,30 min,Café,Café,ship manager not opening
agonzales,ausrca0056,30 min,Café,Café,Kaspersky - Modify
anewman,ausrca0074,29 min,FXRS,FSMS,Server upgrade
anewman,ausrca0074,29 min,FXRS,Café,Ship service not responding
dsims,ausrca0062,28 min,FXRS,Café,Antivirus ate my services
aljohnson,ausrca0058,25 min,Café,FSMS,FSM will not launch/upgrade to 3009
agonzales,ausrca0056,20 min,FXRS,Café,Kaspersky- Modify
mbarth,auswrca0230,20 min,FXRS,Café,kaperski and server error
aljohnson,ausrca0058,15 min,FXRS,FSMS,rates
mbarth,auswrca0230,15 min,FXRS,FXCT,wrong ltl account
anewman,ausrca0074,15 min,Café,Café,Ship services not responding
dsims,ausrca0062,12 min,FXRS,WIS,Reprint label
macampbell,ausrca0057,12 min,FXRS,WIS,Certification questions, test credential
agonzales,ausrca0056,12 min,FXRS,FSMS,Enable Smartpost
rmanley,ausrca0054,12 min,Café,Café,shipments remaining after eod
mbarth,auswrca0230,11 min,FXRS,WIS,test wrong address
bdecker,auswssepeda,11 min,FXRS,FSMS,dg shipment
anewman,ausrca0074,10 min,FXRS,Café,Ship service not responding
gdeharo,ausrca0050,10 min,FXRS,Misdirect,dot com caller
macampbell,ausrca0057,7 min,FXRS,Café,Anti-virus removed admin service
rmcneil,ausrcb0061a,7 min,FXRS,WIS,Needed the test credentials
cdriskell,auswidf1d62,7 min,Café,Café,SA notification triggers
chkelley,ausrca0055,6 min,FXRS,WIS,invalid payment type
dsims,ausrca0062,6 min,Café,Café,Tech ticket for jammed printer.
mbarth,auswrca0230,5 min,FXRS,FSMS,1069 uninstall
agonzales,ausrca0056,5 min,FXRS,Café,Kaspersky- Modify
mbarth,auswrca0230,5 min,FXRS,Café,needs upgrade
anewman,ausrca0074,5 min,FXRS,WIS,Questions about webservices
macampbell,ausrca0057,4 min,FXRS,WIS,WIS questions
dsims,ausrca0062,3 min,FXRS,Misdirect,International cust service
macampbell,ausrca0057,3 min,Café,Café,Anti-virus removed admin service
macampbell,ausrca0057,3 min,FXRS,WIS,No password email
cdriskell,auswidf1d62,3 min,FXRS,WIS,Gnd Collect coding
mbarth,auswrca0230,2 min,FXRS,Misdirect,needs .com
macampbell,ausrca0057,2 min,FXRS,Café,Comms issue, cannot GTA in
agonzales,ausrca0056,1 min,FXRS,Misdirect,misdirect
agonzales,ausrca0056,1 min,FXRS,MisdirectMisdirect
macampbell,ausrca0057,1 min,FXRS,FSMS,Enable 1D barcode
macampbell,ausrca0057,1 min,FXRS,Misdirect,transferred to fedex.com
macampbell,ausrca0057,1 min,FXRS,Café,Anti-virus removed admin service
macampbell,ausrca0057,1 min,Café,Café,disconnect
