Reported Calls for: Aug-16-12pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
dneal,ausrca0098,124 min,FXRS,FSMS,Clean load
agonzales,ausrca0056,120 min,Café,FSMS,KASPERSKY-REPAIR
rmanley,ausrca0054,60 min,Café,Café,kaspersky quarantined admin
dsims,ausrca0062,59 min,FXRS,Café,AVG ate my services
cdriskell,auswidf1d62,40 min,Café,Café,Kaspersky AV ate the admin svc
rhagemann,ausrcwa043,40 min,Café,Café,Admin Srvc Removed / Repair
jzamora,ausrcwa049,35 min,Café,Café,PEP and printer setup
anewman,ausrca0074,28 min,FXRS,Café,Ship services not responding
cdriskell,auswidf1d62,25 min,Café,Café,Kaspersky AV ate the admin svc
anewman,ausrca0074,22 min,FXRS,Café,Anti-virus removed admin service
gdeharo,ausrca0050,19 min,FXRS,WIS,ltl rating error 9999 EJB Method
macampbell,ausrca0057,14 min,FXRS,Café,Anti-virus removed admin service
mbarth,auswrca0230,10 min,FXRS,Café,freeze locku[p kapetrski
agonzales,ausrca0056,10 min,Café,Café,FXI REPAIR
macampbell,ausrca0057,9 min,Café,Café,Acct validation successful
macampbell,ausrca0057,9 min,FXRS,WIS,Get production credentials
mbarth,auswrca0230,7 min,Café,Café,kaperski lovk up
mbarth,auswrca0230,7 min,Café,Café,freeze lockup ship engine service
gdeharo,ausrca0050,6 min,FXRS,WIS,register for production credentials
pgarza,ausrcwb148,5 min,Café,Café,FSM P-key Request
macampbell,ausrca0057,4 min,FXRS,Café,Anti-virus removed admin service
pgarza,ausrcwb148,4 min,Café,Café,FSM Freezes Upon Launch
macampbell,ausrca0057,3 min,FXRS,WIS,Certification questions
wcrosby,ausrca0071,3 min,FXRS,Misdirect,transfer to .com
rhagemann,ausrcwa043,2.5 min,FXRS,Café,New Tracking Range
rhagemann,ausrcwa043,2 min,FXRS,Misdirect,Domestic
macampbell,ausrca0057,1 min,Café,Misdirect,transferred to fedex.com
anewman,ausrca0074,1 min,Café,Café,empty line
rhagemann,ausrcwa043,1 min,FXRS,Misdirect,Update CC on Account
macampbell,ausrca0057,.5 min,FXRS,FSMS,disconnect
