Reported Calls for: Aug-16-4pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
chkelley,ausrca0055,200 min,Café,Café,clean load
macampbell,ausrca0057,45 min,Café,Café,Repair FSM
rhagemann,ausrcwa043,37 min,FXRS,FXCT,Install
rmcneil,ausrcb0061a,34 min,FXRS,Café,Anti-Virus caused issue
mbarth,auswrca0230,30 min,Café,Café,admin service kapersky
anewman,ausrca0074,25 min,FXRS,Registration,Register for webservices
ianderson,auswlspigelmire,19 min,FXRS,FXCT,rate quotes not printing
wcrosby,ausrca0071,15 min,FXRS,FSMS,invalid password for the fsms install
wcrosby,ausrca0071,15 min,Café,Café,anti-virus removed the admin service
wcrosby,ausrca0071,13 min,Café,Café,fsm install validation
rhagemann,ausrcwa043,11 min,FXRS,FSMS,Field for PO#
macampbell,ausrca0057,10 min,Café,Café,Acct validation successful
mbarth,auswrca0230,10 min,FXRS,WIS,drc reg
wcrosby,ausrca0071,10 min,FXRS,FXCT,request for the fxct
rmanley,ausrca0054,10 min,Café,Café,Kaspersky issue unable to repair
agonzales,ausrca0056,10 min,FXRS,WIS,WIS consultation
macampbell,ausrca0057,10 min,FXRS,WIS,Get production credentials
sroberts,ausrca0072,9 min,FXRS,FSMS,Assisted w/Test Rates Issue
ianderson,auswlspigelmire,8 min,Café,Café,defaulted service type to ground
rhagemann,ausrcwa043,8 min,FXRS,Café,Validation
mbarth,auswrca0230,7.5 min,FXRS,WIS,coding and environment
ianderson,auswlspigelmire,7 min,FXRS,FSMS,1d enable
mbarth,auswrca0230,7 min,FXRS,WIS,needs priro call escalated
sroberts,ausrca0072,6 min,FXRS,FXCT,Answered rating questions re: the Tool
anewman,ausrca0074,5 min,Café,Café,Misdirected call to dotcom
mbarth,auswrca0230,5 min,FXRS,Café,reprots and shipping profiels
wcrosby,ausrca0071,5 min,FXRS,FSMS,printer drivers
mbarth,auswrca0230,5 min,FXRS,FSMS,cic install info
wcrosby,ausrca0071,5 min,Café,Café,ETD has wrong custom value
wcrosby,ausrca0071,5 min,Café,Café,incorrect label format
mbarth,auswrca0230,5 min,FXRS,FSMS,turn on 1d
mbarth,auswrca0230,3 min,FXRS,Misdirect,needs .com
wcrosby,ausrca0071,3 min,Café,Café,scale configuation
sroberts,ausrca0072,3 min,FXRS,Misdirect,Transfer to Dot Com
rhagemann,ausrcwa043,2.5 min,FXRS,Misdirect,Careers @ Fedex.com
rhagemann,ausrcwa043,2.5 min,FXRS,WIS,Where to get Prod Meter
macampbell,ausrca0057,2 min,FXRS,Misdirect,transferred to domestic
macampbell,ausrca0057,1 min,Café,Misdirect,transferred to fedex.com
wcrosby,ausrca0071,1 min,Café,Café,disconnect
macampbell,ausrca0057,.5 min,Café,Café,disconnect
