Reported Calls for: Aug-16-6pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
wcrosby,ausrca0071,30 min,Café,Café,antivirus ate the admin service
rmanley,ausrca0054,20 min,Café,Café,Kaspersky
anewman,ausrca0074,17 min,Café,Café,Install zebra printer
macampbell,ausrca0057,10 min,FXRS,Café,Hardware tech ticket
anewman,ausrca0074,10 min,FXRS,Misdirect,Misdirected call to DG hotline
anewman,ausrca0074,10 min,FXRS,WIS,Rate request
macampbell,ausrca0057,8 min,FXRS,WIS,WIS questions
anewman,ausrca0074,6 min,Café,Café,Repeat shipment
macampbell,ausrca0057,5 min,FXRS,FXCT,Install code for FXCT
mbarth,auswrca0230,5 min,FXRS,FSMS,out tracking numbers
sroberts,ausrca0072,5 min,Café,Café,Answered FMS Users' FICE Questions
macampbell,ausrca0057,3 min,Café,Café,CIC request
rhagemann,ausrcwa043,2.5 min,FXRS,Registration,Check Email for password
rhagemann,ausrcwa043,2 min,FXRS,Misdirect,Dotcom
rhagemann,ausrcwa043,2 min,FXRS,Misdirect,Dotcom
macampbell,ausrca0057,1 min,Café,Café,disconnect
macampbell,ausrca0057,1 min,Café,Café,disconnect
rhagemann,ausrcwa043,1 min,FXRS,Misdirect,Dotcom
