Reported Calls for: Aug-17-10am

Agent, Computer Name, Duration of Call, LOB, Type, Message,
rmcneil,ausrcb0061a,93 min,FXRS,Café,Failed Anti-virus removal
mbarth,auswrca0230,50 min,FXRS,FSMS,add meter and db problems
macampbell,ausrca0057,50 min,FXRS,FSMS,Web services blocked
mbarth,auswrca0230,33 min,FXRS,Café,kaperski ship engine
agonzales,ausrca0056,30 min,FXRS,Café,Kaspersky - repair
agonzales,ausrca0056,30 min,FXRS,Café,Kaspersky-repair
agonzales,ausrca0056,20 min,FXRS,WIS,Label Certification
rhagemann,ausrcwa043,15 min,FXRS,FSMS,1D Enablement on 1407
agonzales,ausrca0056,15 min,FXRS,FSMS,1D enablement
bdecker,auswssepeda,12 min,FXRS,WIS,wis production registration
mbarth,auswrca0230,10 min,FXRS,FSMS,intl meter
ianderson,auswlspigelmire,8 min,Café,Café,registration
macampbell,ausrca0057,8 min,FXRS,FSMS,Enable 1D barcode
anewman,ausrca0074,8 min,FXRS,FSMS,communication
ianderson,auswlspigelmire,6 min,FXRS,FXCT,install
agonzales,ausrca0056,5 min,FXRS,WIS,Smartpost enablement
mbarth,auswrca0230,5 min,FXRS,Café,kaperskyt and ship engine
mbarth,auswrca0230,5 min,FXRS,WIS,transit times
mbarth,auswrca0230,5 min,FXRS,FSMS,1d barcode
agonzales,ausrca0056,5 min,FXRS,Café,Transmission recovery
rhagemann,ausrcwa043,4 min,FXRS,FSMS,Reports Not Printing
macampbell,ausrca0057,4 min,FXRS,Café,Anti-virus removed admin service
mbarth,auswrca0230,2 min,FXRS,Misdirect,needs cust serv
macampbell,ausrca0057,2 min,FXRS,FSMS,disconnect
macampbell,ausrca0057,.5 min,FXRS,FSMS,disconnect
mbarth,auswrca0230,.01 min,FXRS,WIS,call disconnected
