Reported Calls for: Aug-18-6pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
rmanley,ausrca0054,75 min,FXRS,FSMS,unable to download update services
anewman,ausrca0074,50 min,Café,Café,Kaspersky admin service
mbarth,auswrca0230,35 min,FXRS,FSMS,needs smartpost added
rhagemann,ausrcwa043,13 min,FXRS,WIS,Printer Dump Needed
macampbell,ausrca0057,12 min,Café,Café,Intl commodity shipment
sroberts,ausrca0072,10 min,FXRS,WIS,Assisted w/Prod. Creds/CAS Issue
mbarth,auswrca0230,10 min,FXRS,Café,software req
mbarth,auswrca0230,7 min,FXRS,Café,hardwre printer info
sroberts,ausrca0072,6 min,FXRS,WIS,WSGW Routing 2016 Issue
macampbell,ausrca0057,5 min,FXRS,WIS,Previous call status
sroberts,ausrca0072,4 min,FXRS,FXCT,Assisted w/backup/restore of the Tool
rhagemann,ausrcwa043,4 min,FXRS,Misdirect,Dotcom
anewman,ausrca0074,3 min,Café,Café,Rate not showing up on label
macampbell,ausrca0057,3 min,FXRS,WIS,Enable address validation
macampbell,ausrca0057,2 min,Café,Misdirect,transferred to fedex.com
macampbell,ausrca0057,2 min,FXRS,Misdirect,transferred to fedex.com
macampbell,ausrca0057,1 min,FXRS,Misdirect,transferred to fedex.com
