Reported Calls for: Aug-2-12pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
jpinion,ausrca0227,93 min,FXRS,FSMS,issues with 6 smartpost meter setup
gdeharo,ausrcwa043,50 min,FXRS,WIS,issue with ETD shipment escalated
macampbell,ausrcwa049,25 min,Café,Café,Route folder blank, repair FSM
macampbell,ausrcwa049,15 min,Café,Café,Shipmanager Server not responding
gdeharo,ausrcwa043,11 min,Café,Misdirect,CUST SERV/DG
aljohnson,ausrca0057,10 min,FXRS,Café,Hazmat shipment assistance
rmcneil,ausrca0229,10 min,FXRS,FXCT,Need to install
rmanley,ausrca0074,10 min,Café,Café,commodity shipment to MX
gdeharo,ausrcwa043,9 min,FXRS,WIS,printer issues
macampbell,ausrcwa049,8.5 min,Café,Café,Acct validation for FSM successful
gdeharo,ausrcwa043,8 min,Café,Café,Scale setup
gdeharo,ausrcwa043,8 min,Café,Café,international dg shipment
rhagemann,ausrca0050,7.5 min,FXRS,WIS,Browser Issue getting Creds
gdeharo,ausrcwa043,7 min,FXRS,WIS,rates questions
gdeharo,ausrcwa043,7 min,FXRS,WIS,issues with her applications not trk
sroberts,ausrca0072,7 min,FXRS,FXCT,Assisted w/tool restore
rmanley,ausrca0074,6 min,FXRS,WIS,certification status
gdeharo,ausrcwa043,6 min,FXRS,Café,issue with zp 505 printer
aljohnson,ausrca0057,6 min,Café,Café,Hazmat Form
mbarth,auswrca0230,5 min,FXRS,WIS,rates
cdriskell,ausrcwa041,4 min,Café,Misdirect,needed fedex.com for EEI
rmanley,ausrca0074,4 min,FXRS,WIS,cust needed credentials
gdeharo,ausrcwa043,4 min,FXRS,WIS,rate request
rmanley,ausrca0074,4 min,FXRS,WIS,previous call status
aljohnson,ausrca0057,4 min,Café,Café,Int'l shipping
gdeharo,ausrcwa043,3 min,FXRS,WIS,test credentials needed
gdeharo,ausrcwa043,3 min,Café,Café,Software download request.
macampbell,ausrcwa049,1 min,FXRS,Misdirect,transferred to domestic
cdriskell,ausrcwa041,1 min,FXRS,WIS,empty line
macampbell,ausrcwa049,1 min,FXRS,FSMS,disconnect
macampbell,ausrcwa049,.5 min,Café,Café,disconnect
macampbell,ausrcwa049,.5 min,FXRS,FSMS,disconnect
