Reported Calls for: Aug-2-2pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
dneal,ausrca0098,66 min,Café,Café,Software repair for unknown error
rhagemann,ausrca0050,20 min,FXRS,WIS,Test Creds Reg Failed
sseals,ausrca0064,20 min,Café,Café,FXIA Repair
cdriskell,ausrcwa041,17 min,Café,Café,FedEx Freight Box setup
cdriskell,ausrcwa041,15 min,Café,Café,Invoicing issue sent to Rev Svcs
jzamora,ausrca0058,15 min,FXRS,FXCT,registration of express acct in FXCT
rhagemann,ausrca0050,13 min,FXRS,Café,Scale TS
rhagemann,ausrca0050,13 min,FXRS,WIS,Cust wants to see ESB transaction
gdeharo,ausrcwa043,12 min,FXRS,FSMS,1d baracode enablement
rhagemann,ausrca0050,12 min,Café,Café,Printer Install / Win10
chkelley,ausrca0055,12 min,FXRS,FSMS,smartpost reference number
cdriskell,ausrcwa041,11 min,Café,Café,URSA expired comms issue
wcrosby,ausrca0071,10 min,FXRS,WIS,servcie not valid for zip
wcrosby,ausrca0071,10 min,FXRS,WIS,transaction  errors
cdriskell,ausrcwa041,10 min,FXRS,FSMS,invalid trk range not loaded
rhagemann,ausrca0050,9 min,FXRS,FXCT,Install Issue / .NET 4.5.2
sseals,ausrca0064,8 min,FXRS,WIS,WIS Cred Registration
macampbell,ausrcwa049,7 min,Café,Café,MPS rates questions
rhagemann,ausrca0050,7 min,FXRS,WIS,Cert Inquiry
cdriskell,ausrcwa041,6 min,Café,Café,Windows upgrade questions
cdriskell,ausrcwa041,6 min,FXRS,FSMS,CIC needed install key for 1503
wcrosby,ausrca0071,5 min,Café,Café,manifest failed to printer / reprint fin
wcrosby,ausrca0071,5 min,FXRS,Misdirect,transfer to cs
rhagemann,ausrca0050,5 min,FXRS,WIS,iSell for new printer
macampbell,ausrcwa049,4 min,Café,Café,Sender not populating
cdriskell,ausrcwa041,4 min,FXRS,Misdirect,needed fedex.com
rhagemann,ausrca0050,4 min,FXRS,WIS,Consultation Request
cdriskell,ausrcwa041,4 min,Café,Misdirect,nededx fedex.com supplies
macampbell,ausrcwa049,4 min,FXRS,Café,Out of tracking #s
wcrosby,ausrca0071,3 min,Café,Misdirect,transfer to rev
rhagemann,ausrca0050,3 min,FXRS,Misdirect,DOMESTIC
rhagemann,ausrca0050,2.5 min,Café,Café,Return Label
rmcneil,ausrca0229,2 min,FXRS,Misdirect,Bad transfer needed dot.com
macampbell,ausrcwa049,1 min,FXRS,FSMS,disconnect
rhagemann,ausrca0050,1 min,Café,Café,Return Address
sseals,ausrca0064,1 min,FXRS,Misdirect,.com Transfer
