Reported Calls for: Aug-22-1pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
rhagemann,ausrcwa043,52 min,FXRS,FSMS,New Rating Table
sroberts,ausrca0072,18 min,FXRS,WIS,Assisted w/AV Enablement, Etc
anewman,ausrca0074,12 min,FXRS,Café,OP900 documentation forms
wcrosby,ausrca0071,10 min,FXRS,FXCT,training request
wcrosby,ausrca0071,10 min,FXRS,Registration,wis registration
wcrosby,ausrca0071,10 min,Café,Café,fsm validation
sroberts,ausrca0072,9 min,FXRS,WIS,Assisted w/getting Prod. Creds
gdeharo,ausrca0050,7 min,FXRS,WIS,General questions
mbarth,auswrca0230,6 min,FXRS,Café,tech tix printer
sroberts,ausrca0072,6 min,FXRS,WIS,Assist w/Error 1000 Issue
sroberts,ausrca0072,5 min,FXRS,FSMS,Assisted ISC with removal questions.
anewman,ausrca0074,1 min,FXRS,WIS,web services questions
