Reported Calls for: Aug-23-1pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
gdeharo,ausrca0050,53 min,Café,Café,repair/upgrade shipments writing deleted
anewman,ausrca0074,24 min,FXRS,FXCT,FXCT-LTL acct invalid
rhagemann,ausrcwa043,22 min,FXRS,FSMS,Issues with Signature Types
anewman,ausrca0074,20 min,FXRS,WIS,No Ground discounts
anewman,ausrca0074,20 min,FXRS,FSMS,International shipment
rhagemann,ausrcwa043,14 min,FXRS,FSMS,Push 1407 to CIC
sroberts,ausrca0072,14 min,FXRS,WIS,Resolved error 1000/started Cert. proces
mbarth,auswrca0230,13 min,FXRS,Café,fxi cic site visit
anewman,ausrca0074,11 min,FXRS,FSMS,Unable to add child meter
macampbell,ausrca0057,10 min,FXRS,WIS,Help with transaction specs
ianderson,auswlspigelmire,7 min,FXRS,WIS,registration process
anewman,ausrca0074,5 min,FXRS,Registration,Get Production credentials
mbarth,auswrca0230,5 min,FXRS,FXCT,ground rtes
mbarth,auswrca0230,5 min,FXRS,Café,bill third party
sroberts,ausrca0072,5 min,Café,Café,Discussed hardware options, etc.
sroberts,ausrca0072,4 min,FXRS,Misdirect,Transfer to Cust. Svc.
rhagemann,ausrcwa043,2 min,Café,Misdirect,Dotcom
rhagemann,ausrcwa043,2 min,FXRS,WIS,3rd Party SW Login
mbarth,auswrca0230,2 min,Café,Café,cust disconnect before trans
