Reported Calls for: Aug-23-3pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
chkelley,ausrca0055,120 min,FXRS,FSMS,clean load
rhagemann,ausrcwa043,60 min,Café,Café,Upgrade from 2807 to 3009
mbarth,auswrca0230,44 min,FXRS,Café,slow printer reports
anewman,ausrca0074,38 min,FXRS,FSMS,Demand download failed
ianderson,auswlspigelmire,9 min,Café,FXCT,install fxct
ianderson,auswlspigelmire,8 min,FXRS,WIS,registration
macampbell,ausrca0057,7 min,FXRS,WIS,Get production credentials
macampbell,ausrca0057,6 min,FXRS,Café,Anti-virus removed admin service
anewman,ausrca0074,5 min,FXRS,WIS,Get production credentials
macampbell,ausrca0057,5 min,FXRS,WIS,WIS questions
mbarth,auswrca0230,5 min,FXRS,WIS,which meter
mbarth,auswrca0230,5 min,FXRS,WIS,cert req
macampbell,ausrca0057,2 min,FXRS,FSMS,Upgrade questions
macampbell,ausrca0057,1.5 min,FXRS,WIS,Certification questions
