Reported Calls for: Aug-26-9am

Agent, Computer Name, Duration of Call, LOB, Type, Message,
chkelley,ausrca0055,45 min,FXRS,FSMS,account number showing on the label
macampbell,ausrca0057,13 min,FXRS,FSMS,Enable 1D barcode
mbarth,auswrca0230,10 min,FXRS,Café,intl ship england
gdeharo,ausrca0050,10 min,FXRS,WIS,General questions international rates
mbarth,auswrca0230,10 min,FXRS,Café,tech tix cic asked bpu network card
mbarth,auswrca0230,10 min,FXRS,WIS,drc reg
anewman,ausrca0074,9 min,FXRS,WIS,Get Production Credential
gdeharo,ausrca0050,8 min,FXRS,WIS,Register for web service credentials
gdeharo,ausrca0050,8 min,FXRS,FSMS,wanted 1210 patch
mbarth,auswrca0230,5 min,FXRS,Café,tls comms
macampbell,ausrca0057,5 min,FXRS,FSMS,Previous call status
mbarth,auswrca0230,5 min,FXRS,FSMS,turn on 1d
aljohnson,ausrca0058,3 min,FXRS,FSMS,smart post shipping
gdeharo,ausrca0050,2 min,FXRS,FSMS,enable 1D baracode
anewman,ausrca0074,2 min,FXRS,FSMS,set level to test
mbarth,auswrca0230,1 min,FXRS,Misdirect,needs call csp
