Reported Calls for: Aug-29-12pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
jzamora,ausrcwa049,735 min,Café,Café,URSA
jemcavin,ausrca0052,66 min,Café,Café,URSA Expired/Troubleshooting
macampbell,ausrca0057,51 min,FXRS,FSMS,Troubleshoot transactions
gdeharo,ausrca0050,34 min,FXRS,WIS,enable IDG shipment issue
rmcneil,ausrcb0061a,20 min,FXRS,Café,URSA expired
mbarth,auswrca0230,20 min,FXRS,Café,fxia
pgarza,ausrcwb148,18 min,FXRS,FSMS,1421c DG form wasnt printing
mbarth,auswrca0230,15 min,FXRS,FSMS,needs ursa issue and routing
gdeharo,ausrca0050,15 min,FXRS,FSMS,previous case had to escalate
macampbell,ausrca0057,14 min,FXRS,Café,Troubleshoot URSA
macampbell,ausrca0057,13 min,FXRS,WIS,Get test credentials
anewman,ausrca0074,13 min,Café,Café,URSA Expired
gdeharo,ausrca0050,12 min,Café,Café,ursa expired
gdeharo,ausrca0050,11 min,FXRS,Café,URSA expired
anewman,ausrca0074,11 min,Café,Café,Printer not functioning
anewman,ausrca0074,10 min,FXRS,Café,URSA Monday
mbarth,auswrca0230,10 min,FXRS,Café,ursa issue
anewman,ausrca0074,8 min,Café,Café,URSA expired
anewman,ausrca0074,8 min,FXRS,WIS,Certification request
macampbell,ausrca0057,8 min,Café,Café,URSA expired
mbarth,auswrca0230,7 min,FXRS,WIS,drc reg
anewman,ausrca0074,6 min,Café,Café,URSA Expired
mbarth,auswrca0230,5 min,FXRS,Café,needs software req
mbarth,auswrca0230,5 min,FXRS,FSMS,misdirect
macampbell,ausrca0057,5 min,Café,Misdirect,transferred to cust service
macampbell,ausrca0057,5 min,Café,Café,Hardware ticket
anewman,ausrca0074,5 min,FXRS,WIS,Certification request
macampbell,ausrca0057,5 min,Café,Café,Shipment reports
gdeharo,ausrca0050,4 min,FXRS,Café,call tag shipment
gdeharo,ausrca0050,4 min,FXRS,WIS,register for credentials
anewman,ausrca0074,4 min,Café,Café,Credit privileges has been suspended
gdeharo,ausrca0050,3 min,FXRS,WIS,smart post issues
anewman,ausrca0074,2 min,FXRS,Café,customer disconnected
macampbell,ausrca0057,1 min,FXRS,FSMS,disconnect
