Reported Calls for: Aug-3-3pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
sroberts,ausrca0072,32 min,Café,Café,Assist w/adding new acct.
rhagemann,ausrca0050,28 min,FXRS,Café,Discounts not loaded
aljohnson,ausrca0057,27 min,Café,Café,ursa expired..comm issue.IT needed...
agonzales,ausrca0056,20 min,FXRS,FSMS,Update URSA corrupt compfil
aljohnson,ausrca0057,16 min,FXRS,FSMS,fxct batch processing
aljohnson,ausrca0057,15 min,FXRS,WIS,rates request
rhagemann,ausrca0050,10 min,FXRS,Misdirect,Domestic
agonzales,ausrca0056,10 min,FXRS,WIS,register for WIS creds
macampbell,ausrcwa049,7 min,FXRS,WIS,Autentication failed, error 1000
macampbell,ausrcwa049,7 min,Café,Café,Help with email return
macampbell,ausrcwa049,7 min,FXRS,WIS,Get production credentials
agonzales,ausrca0056,6 min,FXRS,FSMS,enable 1D labels
rhagemann,ausrca0050,3 min,Café,Café,Tracking Numbers
rhagemann,ausrca0050,3 min,FXRS,Misdirect,Domestic
rhagemann,ausrca0050,2 min,FXRS,Misdirect,Domestic
agonzales,ausrca0056,2 min,FXRS,FSMS,MISDIRECT to dotcom
aljohnson,ausrca0057,2 min,FXRS,FSMS,wis credentials
