Agent,Computer Name,Duration of Call,LOB,Type,Message,
gdeharo,ausrca0050,44 min,FXRS,FSMS,comm issues tls update network issues,
anewman,ausrca0074,34 min,Café,Café,ship services not responding,
anewman,ausrca0074,11 min,Café,Café,URSA,
anewman,ausrca0074,8 min,FXRS,Café,URSA Expired,
anewman,ausrca0074,7 min,FXRS,Café,Ship services stop responding,
anewman,ausrca0074,6 min,FXRS,WIS,Customer disconnected,
anewman,ausrca0074,5 min,Café,Café,URSA Expired,
anewman,ausrca0074,3 min,FXRS,WIS,Get production credentials,
anewman,ausrca0074,2 min,FXRS,WIS,Cover sheet information,
anewman,ausrca0074,2 min,FXRS,FSMS,Enabled 1d barcode,
gdeharo,ausrca0050,17 min,FXRS,WIS,not receiving rate/name space change,
gdeharo,ausrca0050,16 min,FXRS,FSMS,URSA issues,
gdeharo,ausrca0050,15 min,Café,Café,URSA expired,
gdeharo,ausrca0050,14 min,FXRS,FSMS,questions about grouping shipments,
gdeharo,ausrca0050,10 min,Café,Café,issue with ursa,
gdeharo,ausrca0050,10 min,FXRS,FSMS,epdi transmission issues,
jemcavin,ausrca0052,17 min,FXRS,WIS,certification request,
jemcavin,ausrca0052,15 min,FXRS,FSMS,no info/ will call back,
jemcavin,ausrca0052,10 min,FXRS,Misdirect,transfer to dcom,
jemcavin,ausrca0052,7 min,Café,Café,COD general question,
jemcavin,ausrca0052,5 min,FXRS,FSMS,1D enablement,
jemcavin,ausrca0052,4 min,Café,Café,Expired URSA,
jzamora,ausrcwa049,10 min,Café,Café,URSA,
macampbell,ausrca0057,15 min,Café,Café,Expired URSA, escalated
macampbell,auscrwfxrs3,12 min,FXRS,WIS,Get production credentials,
macampbell,auscrwfxrs3,5 min,FXRS,WIS,WSDL updates in DRC,
macampbell,auscrwfxrs3,5 min,FXRS,FSMS,Wrong ground acct in configuration,
macampbell,ausrca0057,3 min,FXRS,FSMS,Enable 1D barcode,
mbarth,auswrca0230,15 min,FXRS,FSMS,unisntall required,
mbarth,auswrca0230,10 min,FXRS,FSMS,ursa,
mbarth,auswrca0230,10 min,FXRS,FSMS,bill third party,
mbarth,auswrca0230,10 min,FXRS,Café,ursa trouble,
mbarth,auswrca0230,10 min,FXRS,WIS,rates ltl,
mbarth,auswrca0230,10 min,FXRS,Café,wrong postal code,
mbarth,auswrca0230,7 min,FXRS,WIS,tech tix scale,
mbarth,auswrca0230,5 min,FXRS,Café,op 900,
mbarth,auswrca0230,2 min,FXRS,Misdirect,needs cust serv,
mbarth,auswrca0230,0 min,Café,Café,disconnect,
rhagemann,ausrcwa043,24 min,FXRS,FSMS,1D Barcode Questions,
rhagemann,ausrcwa043,20 min,Café,Café,URSA,
rhagemann,ausrcwa043,8.5 min,FXRS,Café,Printer Replacement,
rhagemann,ausrcwa043,8 min,Café,Café,LTL Issues / Comm Down,
rhagemann,ausrcwa043,4.5 min,FXRS,WIS,Test Creds Issue,
rhagemann,ausrcwa043,3 min,FXRS,FXCT,Blank screen / disconnect,
rhagemann,ausrcwa043,3 min,FXRS,Misdirect,Dotcom,
