Agent, Computer Name, Duration of Call, LOB, Type, Message
anewman,ausrca0074,22 min,Café,Café,Ship services not responding
anewman,ausrca0074,13 min,Café,Café,international shipment assistance
anewman,ausrca0074,1 min,FXRS,WIS,Address validation
gdeharo,ausrca0050,9 min,FXRS,Misdirect,dot com caller
gdeharo,ausrca0050,8 min,Café,Café,issue with printer
ianderson,auswlspigelmire,8 min,Café,Café,internatinal shipment
jemcavin,ausrca0052,56 min,Café,Café,upgrade request
jemcavin,ausrca0052,15 min,FXRS,WIS,certification question
jemcavin,ausrca0052,12 min,FXRS,WIS,certification request
macampbell,auscrwfxrs3,35 min,FXRS,FSMS,Clean load 1407
macampbell,auscrwfxrs3,21 min,FXRS,Café,Repair FSM
mbarth,auswrca0230,23 min,FXRS,Café,ae needs isntall help
mbarth,auswrca0230,10 min,FXRS,Café,ursa trouble
mbarth,auswrca0230,10 min,FXRS,WIS,nasmespace
mbarth,auswrca0230,10 min,FXRS,FSMS,1d turn on
mbarth,auswrca0230,5 min,FXRS,Café,install help
rhagemann,ausrcwa043,20 min,Café,Café,FSM Validation
rhagemann,ausrcwa043,15 min,FXRS,WIS,NameSpace
rhagemann,ausrcwa043,3 min,FXRS,FSMS,1D Enablement
sroberts,ausrca0072,43 min,Café,Café,Cust. Needs Admin Access for Intall
sroberts,ausrca0072,12 min,FXRS,WIS,Assist w/Label Cert. Process
sroberts,ausrca0072,8 min,Café,Café,Assisted w/LTL Address Issue
sroberts,ausrca0072,7 min,Café,Café,Assisted w/Commodity Shipment
sroberts,ausrca0072,6 min,FXRS,FXCT,Billing Address Issue/Wrong Acct. #
