Agent, Computer Name, Duration of Call, LOB, Type, Message,
anewman,ausrca0074,28 min,Café,Café,Sender code,
anewman,ausrca0074,14 min,Café,Café,URSA Expired,
anewman,ausrca0074,8 min,FXRS,WIS,test account,
anewman,ausrca0074,5 min,FXRS,WIS,Certification status inquiry,
anewman,ausrca0074,3 min,FXRS,Misdirect,Misdirected call,
anewman,ausrca0074,2 min,FXRS,Misdirect,Misdirected to dotcom,
anewman,ausrca0074,2 min,FXRS,WIS,Shipping history,
anewman,ausrca0074,1 min,Café,Misdirect,Misdirected to dotcom,
anewman,ausrca0074,1 min,Café,Café,customer hung up,
ianderson,auswlspigelmire,150 min,Café,Café,NEW INSTALL,
ianderson,auswlspigelmire,10 min,Café,Café,ursa expired,
jemcavin,ausrca0052,100 min,Café,Café,FSM won't open (clean load),
macampbell,auscrwfxrs3,25 min,Café,Café,Ship intl DG,
macampbell,auscrwfxrs3,12 min,Café,Café,URSA expired,
macampbell,auscrwfxrs3,11 min,Café,Café,printed return labels,
macampbell,auscrwfxrs3,9 min,FXRS,WIS,Troubleshoot rates,
macampbell,auscrwfxrs3,8.5 min,FXRS,WIS,Get production credentials,
macampbell,auscrwfxrs3,5 min,FXRS,WIS,Get production credentials,
mbarth,auswrca0230,10 min,Café,Café,zscale errors,
mbarth,auswrca0230,10 min,FXRS,WIS,prod creds and cert,
mbarth,auswrca0230,10 min,FXRS,Café,printer not selected,
mbarth,auswrca0230,5 min,FXRS,FSMS,rates,
mbarth,auswrca0230,5 min,Café,Café,add percentage,
mbarth,auswrca0230,5 min,FXRS,Café,profiles change,
mbarth,auswrca0230,5 min,Café,Café,reports,
mbarth,auswrca0230,3 min,FXRS,Café,field color,
mbarth,auswrca0230,.5 min,FXRS,FSMS,empty line,
mwildman,ausrca0229,53 min,Café,Café,FXI integration, sup call
mwildman,ausrca0229,18 min,Café,Café,URSA,
mwildman,ausrca0229,14 min,FXRS,Registration,Entering info into Third Party Website,
sroberts,ausrca0072,13 min,Café,Café,Resolved Expired URSA Issue,
sroberts,ausrca0072,8 min,Café,Café,Assisted w/Expired URSA Issue,
sroberts,ausrca0072,6 min,Café,Café,Assisted w/Override Prefs Tab,
sroberts,ausrca0072,5 min,FXRS,Misdirect,Transfer BACK to Dot Com.,
sroberts,ausrca0072,5 min,FXRS,FXCT,Gave FXCT URL to AE,
sroberts,ausrca0072,2 min,Café,Misdirect,Transfer Back to Cust. Svc.,
