Reported Calls for: Aug-4-5pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
pgarza,ausrcwb148,38 min,Café,Café,FSM Upgrade
rhagemann,ausrca0050,30 min,FXRS,WIS,Consultation Request for D&T
macampbell,ausrcwa049,21 min,FXRS,FXCT,Troubleshoot FXCT
ahendon,ausrca0069,17 min,Café,Café,install- upgrade
rhagemann,ausrca0050,16 min,Café,Café,Validation
macampbell,ausrcwa049,14 min,FXRS,FXCT,Troubleshoot batch profile
sroberts,ausrca0072,14 min,Café,Café,Problem Encountered Registering
sroberts,ausrca0072,12 min,FXRS,WIS,Assisted w/Transaction Error
mbarth,auswrca0230,10 min,FXRS,Café,change address and netwrk client
ahendon,ausrca0069,9 min,FXRS,FSMS,general reference
mbarth,auswrca0230,7 min,FXRS,Café,install ship managar
mbarth,auswrca0230,5 min,FXRS,Café,netwoprk client limitations
mbarth,auswrca0230,2 min,FXRS,WIS,label cert process
