Reported Calls for: Aug-5-4pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
sroberts,ausrca0072,23 min,FXRS,WIS,Assist w/Track Trans. Error
rhagemann,ausrca0050,22 min,FXRS,WIS,Rating Issues
macampbell,ausrcwa049,10 min,FXRS,FSMS,GTA in to transfer FSMS setup file
mbarth,auswrca0230,10 min,FXRS,Café,client write as delete
ianderson,auswlspigelmire,8 min,FXRS,WIS,discounts not being applied to account
chkelley,ausrca0055,5 min,Café,Café,dg paper work not printing
chkelley,ausrca0055,5 min,Café,Café,software download request
mbarth,auswrca0230,5 min,FXRS,WIS,drc reg
mbarth,auswrca0230,5 min,Café,Café,labels count and ci
cdriskell,ausrcwa041,5 min,Café,Misdirect,needed Cafe Beta
mbarth,auswrca0230,5 min,FXRS,WIS,drc function
mbarth,auswrca0230,5 min,FXRS,WIS,rates issue web serv
mbarth,auswrca0230,0 min,FXRS,FSMS,call disconnected
