Reported Calls for: Aug-8-7pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
rmanley,ausrca0074,90 min,FXRS,WIS,International rates
pgarza,ausrcwb148,40 min,FXRS,WIS,Legacy API disablement
rhagemann,ausrca0050,31 min,FXRS,WIS,ZP500 Install
ahendon,ausrca0069,26 min,FXRS,WIS,transaction vaildation
macampbell,ausrcwa049,20 min,FXRS,FSMS,1201 does not need database swap
macampbell,ausrcwa049,18 min,FXRS,FXCT,Install FXCT
pgarza,ausrcwb148,18 min,FXRS,FXCT,FXCT Rating Descrepancy
cdriskell,ausrcwa041,17 min,FXRS,WIS,WIS Prod registration
rhagemann,ausrca0050,16 min,FXRS,FSMS,1D Enablement
rhagemann,ausrca0050,16 min,Café,Café,Reports
mbarth,auswrca0230,15 min,FXRS,FXCT,add accounts
jzamora,ausrca0058,15 min,Café,Café,mkruntime error
mbarth,auswrca0230,15 min,FXRS,Café,printer ish tech tix
rhagemann,ausrca0050,13 min,FXRS,Café,FXI trying to get LTL List Rates
rhagemann,ausrca0050,13 min,FXRS,WIS,DRC Prod Reg
macampbell,ausrcwa049,11 min,FXRS,WIS,Get production credentials
macampbell,ausrcwa049,10 min,FXRS,FSMS,Hardware tech ticket
mbarth,auswrca0230,10 min,FXRS,FSMS,turn 1d on
jzamora,ausrca0058,10 min,FXRS,WIS,test credentials needed
macampbell,ausrcwa049,8 min,FXRS,WIS,Transactions coded only for list rates
chkelley,ausrca0055,7 min,FXRS,WIS,wis registration
chkelley,ausrca0055,7 min,FXRS,WIS,wis registration
macampbell,ausrcwa049,7 min,FXRS,FXCT,Rates service disruption
rhagemann,ausrca0050,7 min,Café,Café,Printer Install
macampbell,ausrcwa049,6 min,FXRS,WIS,Contact front-end provider tech support
mbarth,auswrca0230,5 min,FXRS,WIS,prod creds input
mbarth,auswrca0230,5 min,FXRS,FSMS,ace install upgrade
mbarth,auswrca0230,5 min,Café,WIS,web serv and cafe rates
rhagemann,ausrca0050,5 min,FXRS,WIS,DRC Prod Reg
ahendon,ausrca0069,4 min,Café,Misdirect,Domestic customer service
rhagemann,ausrca0050,3.5 min,FXRS,WIS,Rating Issue
cdriskell,ausrcwa041,3 min,FXRS,Misdirect,needed fedex.com
macampbell,ausrcwa049,2 min,FXRS,FSMS,Install questions
macampbell,ausrcwa049,2 min,FXRS,FSMS,disconnect
macampbell,ausrcwa049,2 min,FXRS,Misdirect,transferred to fedex.com
macampbell,ausrcwa049,1 min,Café,Café,disconnect
mbarth,auswrca0230,1 min,FXRS,Misdirect,needs .com
rhagemann,ausrca0050,1 min,FXRS,WIS,Previous Case Update
