Reported Calls for: Aug-9-11am

Agent, Computer Name, Duration of Call, LOB, Type, Message,
rmanley,ausrca0074,50 min,Café,Café,unable to open software
agonzales,ausrca0056,45 min,FXRS,FSMS,no ground transmission on all meters
aljohnson,ausrca0057,43 min,FXRS,FSMS,Cleanload v16.01
ahendon,ausrca0069,35 min,Café,Café,Host/ Client installation of FSM
gdeharo,ausrcwa043,27 min,FXRS,FSMS,Install server/register
mbarth,auswrca0230,25 min,FXRS,Café,server stopped running error
macampbell,ausrcwa049,24 min,Café,Café,FXIA, custom labels
cdriskell,ausrcwa041,20 min,Café,Café,NW Client setup
aljohnson,ausrca0057,20 min,FXRS,FSMS,smart post delivery confirmation
cdriskell,ausrcwa041,19 min,FXRS,WIS,WIS Prod registration
macampbell,ausrcwa049,17 min,Café,Café,Troubleshoot URSA
jedupree,ausrca0052,15 min,FXRS,WIS,WIS Registration & Certification
gdeharo,ausrcwa043,15 min,Café,Café,host client install
ianderson,auswlspigelmire,14 min,FXRS,WIS,authentication failure
ahendon,ausrca0069,12 min,Café,Café,TECH TICKET
ahendon,ausrca0069,12 min,FXRS,WIS,answered questions about track services
cdriskell,ausrcwa041,12 min,Café,Café,LP2844 printer dump
ahendon,ausrca0069,11 min,Café,Café,TECH TICKET
ianderson,auswlspigelmire,11 min,FXRS,FSMS,1D TO ASTRA BARCODE TYPE
jedupree,ausrca0052,10 min,Café,Café,Dangerous Goods Shipment Assistance
agonzales,ausrca0056,10 min,FXRS,FSMS,Verify ground transmission
mbarth,auswrca0230,10 min,FXRS,WIS,csp front end issues
ahendon,ausrca0069,9 min,FXRS,FSMS,Answered  general refence questions
mbarth,auswrca0230,9 min,FXRS,Café,new isntalls cic req
aljohnson,ausrca0057,9 min,Café,Café,export address book.
aljohnson,ausrca0057,9 min,FXRS,FSMS,discounts rate
aljohnson,ausrca0057,7 min,FXRS,FSMS,meter validation
jedupree,ausrca0052,7 min,FXRS,FSMS,EXPIRED FSMS URSA
macampbell,ausrcwa049,7 min,FXRS,Café,Printer PEP ticket
macampbell,ausrcwa049,7 min,FXRS,Café,Acct validation failed, web form sent
aljohnson,ausrca0057,7 min,Café,Café,Cust requesting a product key
mbarth,auswrca0230,7 min,FXRS,WIS,rates problem escalated
mbarth,auswrca0230,6 min,FXRS,WIS,ae about third party hazmat
macampbell,ausrcwa049,5 min,FXRS,WIS,WIS questions
jedupree,ausrca0052,5 min,FXRS,WIS,WIS Rating Issues
aljohnson,ausrca0057,5 min,Café,Café,Cust wanted to update his address
cdriskell,ausrcwa041,4 min,Café,Café,Redo Exp labels as Gnd
macampbell,ausrcwa049,3 min,FXRS,FSMS,Check EPDI for transmissions
macampbell,ausrcwa049,3 min,FXRS,Misdirect,transferred to fedex.com
gdeharo,ausrcwa043,3 min,Café,Café,software download request
ahendon,ausrca0069,2 min,FXRS,FSMS,LINE TEST
mbarth,auswrca0230,2 min,FXRS,Misdirect,needs .com
aljohnson,ausrca0057,2 min,Café,Misdirect,misdirect
macampbell,ausrcwa049,2 min,FXRS,Misdirect,transferred to fedex.com
pgarza,ausrcwb148,2 min,FXRS,FSMS,Previous Case Inquiry
macampbell,ausrcwa049,1 min,FXRS,FSMS,disconnect
macampbell,ausrcwa049,1 min,FXRS,FSMS,disconnect
