Reported Calls for: Aug-9-2pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
rmanley,ausrca0074,45 min,Café,Café,hazmat table incorrect on airbags
ianderson,auswlspigelmire,40 min,Café,Café,ltl freight shipment
aljohnson,ausrca0057,40 min,FXRS,FSMS,Cust needed help adding a child meter
gdeharo,ausrcwa043,38 min,Café,Café,previous escalated issue
cdriskell,ausrcwa041,35 min,Café,Café,fedex.com AB import
gdeharo,ausrcwa043,21 min,FXRS,WIS,questions about international
chkelley,ausrca0055,20 min,FXRS,WIS,certification
agonzales,ausrca0056,20 min,FXRS,FSMS,weight query
rhagemann,ausrca0050,20 min,Café,Café,International / GTA Wont Launch
pgarza,ausrcwb148,19 min,FXRS,FSMS,WIS CreatePickupReuest Coding Assistance
rhagemann,ausrca0050,17 min,FXRS,Misdirect,LTL Dotcom / Did not answer transfer
aljohnson,ausrca0057,16 min,FXRS,FSMS,Delete shipment request
macampbell,ausrcwa049,15 min,FXRS,FSMS,Acct #s showing on intl AWB copies
mbarth,auswrca0230,13 min,FXRS,WIS,cert r3eq
agonzales,ausrca0056,10 min,FXRS,FSMS,incorrect airway bill
agonzales,ausrca0056,10 min,FXRS,WIS,WIS test transaction
rhagemann,ausrca0050,9.5 min,Café,Café,Doc Reprint / Validation
ianderson,auswlspigelmire,9 min,Café,Café,update account address
aljohnson,ausrca0057,9 min,Café,Café,Needed help with printer
sroberts,ausrca0072,7 min,FXRS,Café,Troubleshooting label printer issue
rhagemann,ausrca0050,6 min,Café,Café,Validation
mbarth,auswrca0230,5 min,FXRS,WIS,ltl rates
mbarth,auswrca0230,5 min,FXRS,FSMS,cic db codes
sroberts,ausrca0072,5 min,FXRS,WIS,Assisted AE with FXCT/Handling Chrg Issu
rhagemann,ausrca0050,5 min,Café,Misdirect,Dotcom
rhagemann,ausrca0050,5 min,Café,Misdirect,Dotcom Printer Install
mbarth,auswrca0230,5 min,FXRS,WIS,drc fucntion auth 1000
pgarza,ausrcwb148,4 min,Café,Café,TSR Ticket to Repair ZM400 print-head
agonzales,ausrca0056,3 min,FXRS,FSMS,Enable 1D
pgarza,ausrcwb148,3 min,FXRS,FSMS,Introduction to MRU
macampbell,ausrcwa049,2 min,FXRS,WIS,Rates service disruption
agonzales,ausrca0056,2 min,FXRS,FSMS,misdirect. transfer to customer service
mbarth,auswrca0230,2 min,FXRS,Misdirect,needs .com
macampbell,ausrcwa049,1 min,FXRS,WIS,WIS questions
rhagemann,ausrca0050,.5 min,FXRS,FXCT,Disconnect
rhagemann,ausrca0050,.5 min,Café,Misdirect,Dotcom
