Reported Calls for: Aug-9-5pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
jzamora,ausrca0058,55 min,Café,Café,writing to deleted, ver2915
jzamora,ausrca0058,20 min,FXRS,FSMS,transactions not reaching the server
sroberts,ausrca0072,13 min,FXRS,WIS,Helped caller get Prod. creds.
macampbell,ausrcwa049,11 min,FXRS,WIS,WIS questions
sroberts,ausrca0072,9 min,FXRS,WIS,Answered ?s re: incorrect Web Svcs rates
mbarth,auswrca0230,7 min,FXRS,Café,bpu tech tix
pgarza,ausrcwb148,6 min,FXRS,WIS,Credential Certification
mbarth,auswrca0230,5 min,FXRS,WIS,rates issue
macampbell,ausrcwa049,5 min,Café,Café,Create print returns
macampbell,ausrcwa049,5 min,FXRS,FSMS,1D barcode already enabled
macampbell,ausrcwa049,3 min,Café,Café,Cancel tech ticket
macampbell,ausrcwa049,1 min,FXRS,Misdirect,transferred to fedex.com
