Reported Calls for: Aug-9-9am

Agent, Computer Name, Duration of Call, LOB, Type, Message,
agonzales,ausrca0056,30 min,FXRS,FSMS,invalid tracking number range
chkelley,ausrca0055,25 min,FXRS,FSMS,unable to download rates
gdeharo,ausrcwa043,23 min,Café,Café,Issue with FXI look up box popping up
mbarth,auswrca0230,22 min,FXRS,FSMS,comms and installer
ianderson,auswlspigelmire,20 min,FXRS,FSMS,astra to 1d
dneal,ausrca0098,18 min,Café,Café,FXI issue
ianderson,auswlspigelmire,16 min,FXRS,FSMS,austhenication failure
gdeharo,ausrcwa043,15 min,FXRS,FSMS,clean load required
mbarth,auswrca0230,15 min,FXRS,FSMS,mru errors and comms
chkelley,ausrca0055,10 min,Café,Café,dg paperwork not printing
mbarth,auswrca0230,10 min,FXRS,FXCT,fxct enter ltl account
mbarth,auswrca0230,10 min,FXRS,Café,printer
gdeharo,ausrcwa043,8 min,FXRS,WIS,smart post issues
ianderson,auswlspigelmire,8 min,Café,Café,database restore
mbarth,auswrca0230,5 min,FXRS,Café,doc tabs configure
mbarth,auswrca0230,5 min,FXRS,WIS,rates wrong
mbarth,auswrca0230,5 min,FXRS,Café,comms dial up
gdeharo,ausrcwa043,5 min,FXRS,WIS,general questions
macampbell,ausrcwa049,4 min,FXRS,FSMS,Upgrade questions
chkelley,ausrca0055,4 min,FXRS,FSMS,enable 1d
gdeharo,ausrcwa043,2 min,Café,Café,cust disconnect
