Reported Calls for: Jul-11-11am

Agent, Computer Name, Duration of Call, LOB, Type, Message,
rmcneil,ausrca0229,46 min,FXRS,Café,Admin service blocked
macampbell,ausrcwa049,30 min,FXRS,FSMS,Troubleshoot rates
gdeharo,ausrcwa043,29 min,FXRS,FSMS,escalated case tls patch update
macampbell,ausrcwa049,20 min,Café,Café,Install FSM and printer drivers
chkelley,ausrca0055,20 min,FXRS,Café,printer install
chkelley,ausrca0055,15 min,FXRS,Café,fxi not opening
chkelley,ausrca0055,15 min,FXRS,Café,upgrade to 3007
gdeharo,ausrcwa043,14 min,FXRS,WIS,issues with collect shipment qb
gdeharo,ausrcwa043,10 min,FXRS,Registration,not able to get test credentials
chkelley,ausrca0055,10 min,FXRS,Café,printer install
gdeharo,ausrcwa043,9 min,Café,Café,tis needed for fxi path update
gdeharo,ausrcwa043,9 min,FXRS,WIS,register for web service credentials
macampbell,ausrcwa049,9 min,Café,Café,MPS rating questions
macampbell,ausrcwa049,8 min,FXRS,Café,Hardware relocation ticket
macampbell,ausrcwa049,7 min,FXRS,FSMS,Hardware tech ticket
macampbell,ausrcwa049,6 min,Café,Café,Troubleshoot dial-up
gdeharo,ausrcwa043,6 min,Café,Café,update name of signatory dg
gdeharo,ausrcwa043,5 min,Café,Café,new software download request
gdeharo,ausrcwa043,5 min,Café,Café,zp 500 install
macampbell,ausrcwa049,4 min,FXRS,Registration,Errors registering for test creds
gdeharo,ausrcwa043,3 min,FXRS,WIS,questions smart post apo shipment
gdeharo,ausrcwa043,2 min,FXRS,Misdirect,dot com caller
