Reported Calls for: Jul-13-8am

Agent, Computer Name, Duration of Call, LOB, Type, Message,
rmcneil,ausrca0229,27 min,FXRS,WIS,New server not sending info
rhagemann,ausrca0050,12 min,Café,Misdirect,BETA TRANSFER
chkelley,ausrca0055,10 min,FXRS,WIS,questions about the dev guide
macampbell,ausrcwa049,8 min,Café,Café,Install FSM client
rhagemann,ausrca0050,7 min,Café,Café,PR Return Unavaliable
sroberts,ausrca0072,7 min,FXRS,FSMS,CSP Request for Info
macampbell,ausrcwa049,6 min,FXRS,WIS,Get production credentials
rhagemann,ausrca0050,6 min,Café,Café,Deleted a Shipment
chkelley,ausrca0055,5 min,FXRS,Registration,wis registration
chkelley,ausrca0055,5 min,FXRS,Registration,wis registration
rhagemann,ausrca0050,3 min,FXRS,Misdirect,Customer Service
rhagemann,ausrca0050,3 min,FXRS,Misdirect,Dotcom
macampbell,ausrcwa049,2 min,FXRS,Misdirect,transferred to fedex.com
macampbell,ausrcwa049,1 min,Café,Misdirect,Transferred to Cafe Beta
macampbell,ausrcwa049,1 min,Café,Café,disconnect
macampbell,ausrcwa049,1 min,FXRS,Misdirect,transferred to fedex.com
