Reported Calls for: Jul-15-2pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
sroberts,ausrca0072,26 min,FXRS,WIS,Assist w/Test Creds Issue
rhagemann,ausrca0050,24 min,FXRS,WIS,WIS does not support Australia
chkelley,ausrca0055,20 min,Café,Café,international shipment walkthrough
rhagemann,ausrca0050,19 min,Café,Café,International Rates
rhagemann,ausrca0050,11 min,FXRS,WIS,WIS Registration
macampbell,ausrcwa049,10 min,FXRS,WIS,Tech ticket for hardware
macampbell,ausrcwa049,10 min,FXRS,Registration,Test credentials workaround
macampbell,ausrcwa049,8 min,FXRS,FSMS,FSMS questions
rhagemann,ausrca0050,6 min,FXRS,Café,TSR Request
rhagemann,ausrca0050,6 min,FXRS,FSMS,MRU wont open
macampbell,ausrcwa049,5 min,Café,Café,Questions about registration
macampbell,ausrcwa049,4 min,Café,Café,Hardware ticket
macampbell,ausrcwa049,3 min,FXRS,FXCT,Rates Outage
chkelley,ausrca0055,3 min,FXRS,WIS,prod outage
chkelley,ausrca0055,3 min,FXRS,WIS,prod outage
chkelley,ausrca0055,3 min,FXRS,WIS,prod outage
chkelley,ausrca0055,3 min,FXRS,WIS,prod outage
chkelley,ausrca0055,3 min,FXRS,WIS,prod outage
macampbell,ausrcwa049,3 min,FXRS,Misdirect,transferred to fedex.com
rhagemann,ausrca0050,3 min,FXRS,FSMS,SmartPost Label
rhagemann,ausrca0050,2.5 min,FXRS,WIS,Outage Check
macampbell,ausrcwa049,2 min,FXRS,FSMS,Rates Outage
macampbell,ausrcwa049,2 min,FXRS,WIS,Rates outage
macampbell,ausrcwa049,1 min,FXRS,FSMS,disconnect
macampbell,ausrcwa049,1 min,FXRS,FSMS,Rates outage
