Reported Calls for: Jul-18-2pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
gdeharo,ausrcwa043,147 min,Café,Café,clean load/restore/scale issues
rhagemann,ausrca0050,49 min,FXRS,FSMS,SPX Rates and Range
chkelley,ausrca0055,40 min,FXRS,FSMS,invalid tracking range smartpost
rhagemann,ausrca0050,30 min,FXRS,FSMS,SPX won't process
chkelley,ausrca0055,20 min,FXRS,FSMS,tls update
chkelley,ausrca0055,20 min,FXRS,FSMS,unable to ship from this zip code
sroberts,ausrca0072,19 min,FXRS,WIS,Submitted Cert. Request
sroberts,ausrca0072,11 min,Café,Café,Submitted Scale Hardware Ticket
rhagemann,ausrca0050,11 min,Café,Café,Client Writing As Deleted
sroberts,ausrca0072,10 min,FXRS,FXCT,Assisted w/Configuration Issue
macampbell,ausrcwa049,9.5 min,FXRS,WIS,Get production credentials
sroberts,ausrca0072,6 min,FXRS,WIS,Created Cert. Request
rhagemann,ausrca0050,4 min,FXRS,Café,DG Issues
sroberts,ausrca0072,3 min,FXRS,Misdirect,Transfer to Dot Com
rhagemann,ausrca0050,2.5 min,FXRS,FSMS,FXRS not on Network
macampbell,ausrcwa049,2 min,Café,Misdirect,transferred to fedex.com
macampbell,ausrcwa049,1 min,Café,Café,transferred to cafe beta
