Reported Calls for: Jul-26-2pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
gdeharo,ausrcwa043,282 min,FXRS,FSMS,upgrade clean load required escalated
rhagemann,ausrca0050,135 min,Café,Café,FSM & FXI Upgrade
rhagemann,ausrca0050,120 min,Café,Café,Client Failed to Update
rhagemann,ausrca0050,35 min,FXRS,FSMS,Hazmat Issues
gdeharo,ausrcwa043,32 min,Café,Café,shipments writing as deleted upgraded software
sroberts,ausrca0072,25 min,FXRS,WIS,Assist w/Label Cert. Issue
gdeharo,ausrcwa043,23 min,FXRS,FSMS,adding accts to system using MRU
rhagemann,ausrca0050,21 min,FXRS,FXCT,PK / Install assist
rhagemann,ausrca0050,21 min,Café,Café,LTL Issues / xfer to LTL Tech for Dotcom
macampbell,ausrcwa049,21 min,Café,Café,Install printer, register FSM
rhagemann,ausrca0050,20 min,FXRS,FXCT,Comms Issue
macampbell,ausrcwa049,20 min,Café,Café,Clients writing as deleted
gdeharo,ausrcwa043,18 min,FXRS,WIS,issues with test shipment on test
rhagemann,ausrca0050,18 min,FXRS,WIS,Unable to process ground / test
rhagemann,ausrca0050,18 min,FXRS,FSMS,Ship.Log Backup is 3.26GB / Deleted Backup2
macampbell,ausrcwa049,16 min,FXRS,Café,Ship intl MPS
macampbell,ausrcwa049,16 min,Café,Café,Writing as deleted
rhagemann,ausrca0050,14 min,FXRS,WIS,SPX Rating Issue
macampbell,ausrcwa049,14 min,Café,Café,Ship alert questions
rhagemann,ausrca0050,12 min,Café,Café,FSM Download Assist / Move to USB
rhagemann,ausrca0050,12 min,FXRS,WIS,Test reg
rhagemann,ausrca0050,12 min,FXRS,FXCT,Install
macampbell,ausrcwa049,12 min,Café,Café,Writing as deleted
gdeharo,ausrcwa043,11 min,Café,Café,installing zebra zp 505 printer.
macampbell,ausrcwa049,10 min,FXRS,FXCT,Configure FXCT
macampbell,ausrcwa049,10 min,FXRS,FSMS,TLS protocol update questions
sroberts,ausrca0072,10 min,Café,Café,Assisted w/upgrade prompt.
rhagemann,ausrca0050,10 min,FXRS,FSMS,Return Label
rhagemann,ausrca0050,10 min,Café,Café,Comms
sroberts,ausrca0072,10 min,Café,Café,Assist w/Printer Install
macampbell,ausrcwa049,9 min,Café,Café,Acct validation for FSM failed
macampbell,ausrcwa049,8 min,FXRS,Café,Acct validation for cafe successful
macampbell,ausrcwa049,8 min,FXRS,WIS,Issues with smartpost, referred to AE
gdeharo,ausrcwa043,8 min,FXRS,FSMS,clean load required due to virus
gdeharo,ausrcwa043,8 min,Café,Café,update address on system due to moving
rhagemann,ausrca0050,8 min,Café,Misdirect,Beta
rhagemann,ausrca0050,8 min,FXRS,FXCT,No Discounts
macampbell,ausrcwa049,7 min,FXRS,WIS,Get production credentials
gdeharo,ausrcwa043,7 min,FXRS,FXCT,install tool onto computer
macampbell,ausrcwa049,7 min,Café,Café,Shipengine services not running on client
rhagemann,ausrca0050,6.5 min,Café,Café,International Assist
rhagemann,ausrca0050,6 min,FXRS,WIS,Front End Design
rhagemann,ausrca0050,5.5 min,FXRS,FSMS,TSR Request / Advised cust needs to call
gdeharo,ausrcwa043,5 min,Café,Café,printer issue possible wire short
gdeharo,ausrcwa043,4 min,FXRS,Misdirect,dot com caller
gdeharo,ausrcwa043,4 min,Café,Misdirect,ltl cust serv needed
rhagemann,ausrca0050,4 min,FXRS,Misdirect,Dotcom
sroberts,ausrca0072,4 min,Café,Misdirect,CAFE Agent kept the call.
rhagemann,ausrca0050,3.5 min,Café,Café,Report Printer Issues
rhagemann,ausrca0050,3 min,FXRS,Misdirect,Cust Service
macampbell,ausrcwa049,3 min,FXRS,WIS,WIS questions
rhagemann,ausrca0050,2.5 min,FXRS,FSMS,SS Callback Req
macampbell,ausrcwa049,2 min,Café,Misdirect,Transferred to Cafe Beta
gdeharo,ausrcwa043,2 min,FXRS,FSMS,MRU utility issue
gdeharo,ausrcwa043,2 min,Café,Café,issue with install wanted to do it on a ipad
macampbell,ausrcwa049,2 min,Café,Café,disconnect
rhagemann,ausrca0050,2 min,Café,Misdirect,Beta
rhagemann,ausrca0050,2 min,FXRS,FSMS,Cust needed Tech Support #
gdeharo,ausrcwa043,1 min,FXRS,Misdirect,dot com caller
gdeharo,ausrcwa043,1 min,FXRS,WIS,customer disconnect
macampbell,ausrcwa049,1 min,Café,Café,disconnect
macampbell,ausrcwa049,1 min,Café,Café,disconnect
macampbell,ausrcwa049,.5 min,FXRS,FSMS,disconnect
macampbell,ausrcwa049,.5 min,Café,Café,disconnect
macampbell,ausrcwa049,.5 min,FXRS,WIS,disconnect
macampbell,ausrcwa049,.5 min,FXRS,FSMS,disconnect
macampbell,ausrcwa049,.5 min,Café,Café,disconnect
macampbell,ausrcwa049,.5 min,FXRS,WIS,disconnect
