Reported Calls for: Jul-28-8am

Agent, Computer Name, Duration of Call, LOB, Type, Message,
rmanley,ausrca0074,75 min,Café,Café,cleanload to fix known issue
rhagemann,ausrca0050,36 min,Café,Café,Printer Issue / Windows 10
jzamora,ausrca0058,30 min,FXRS,WIS,auth error/certification
rhagemann,ausrca0050,25 min,FXRS,Café,Client Install
gdeharo,ausrcwa043,19 min,FXRS,WIS,rates not showing
rmanley,ausrca0074,15 min,FXRS,WIS,ltl rate quote
jzamora,ausrca0058,15 min,Café,Café,Validation
macampbell,ausrcwa049,11 min,FXRS,WIS,Certification inquiry request
rhagemann,ausrca0050,10 min,FXRS,WIS,Cert Request
mbarth,auswrca0230,10 min,Café,Café,update address
mbarth,auswrca0230,5 min,FXRS,WIS,drc question
mbarth,auswrca0230,5 min,FXRS,Café,needs a printer
gdeharo,ausrcwa043,3 min,FXRS,FSMS,OS platform available for 12xx
rhagemann,ausrca0050,2 min,FXRS,Misdirect,Domestic
rhagemann,ausrca0050,2 min,FXRS,Misdirect,Dotcom
macampbell,ausrcwa049,1 min,FXRS,Misdirect,transferred to domestic
rhagemann,ausrca0050,1 min,FXRS,Misdirect,Dotcom
