Reported Calls for: Jul-7-2pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
dneal,ausrca0098,72 min,Café,Café,Writing deleted
gdeharo,ausrcwa043,38 min,FXRS,FSMS,transmission issues with ground pkgs
cdriskell,ausrcwa041,36 min,FXRS,FSMS,SP wrong rates
chkelley,ausrca0055,30 min,FXRS,WIS,invalid shipping address
rhagemann,ausrca0050,25 min,FXRS,WIS,Not receiving transactions
sroberts,ausrca0072,23 min,FXRS,WIS,Assist w/Error 1000 & cert. issue
rmcneil,ausrca0229,17 min,Café,Café,Writing as deleted client 2915
gdeharo,ausrcwa043,17 min,Café,Café,host/client fxi issues
macampbell,ausrcwa049,15 min,Café,Café,Canada domestic signature options
macampbell,ausrcwa049,14 min,FXRS,FXCT,FXCT errors
chkelley,ausrca0055,12 min,FXRS,WIS,certification
macampbell,ausrcwa049,10 min,FXRS,FSMS,Hardware relocation ticket
cdriskell,ausrcwa041,10 min,Café,Café,3P LTL acct errors
gdeharo,ausrcwa043,10 min,FXRS,Café,dial up not communicating
macampbell,ausrcwa049,10 min,FXRS,WIS,Hardware removal ticket
rhagemann,ausrca0050,9 min,FXRS,Café,PK Request
sroberts,ausrca0072,9 min,Café,Café,Assisted w/No Rates Issue
gdeharo,ausrcwa043,7 min,FXRS,FSMS,label not printing
gdeharo,ausrcwa043,6 min,FXRS,FSMS,AE request
cdriskell,ausrcwa041,6 min,FXRS,WIS,enable AV
cdriskell,ausrcwa041,6 min,Café,Café,EOD reports not printing
macampbell,ausrcwa049,5 min,Café,Café,Acct validation successful
macampbell,ausrcwa049,4 min,Café,Misdirect,Transferred to Cafe Beta
gdeharo,ausrcwa043,4 min,FXRS,FXCT,FXCT issues
rhagemann,ausrca0050,3 min,FXRS,WIS,What is my meter
macampbell,ausrcwa049,2 min,Café,Misdirect,transferred to cafe Beta
rhagemann,ausrca0050,2 min,Café,Misdirect,Dotcom
rhagemann,ausrca0050,2 min,Café,Misdirect,Dotcom
macampbell,ausrcwa049,1 min,Café,Misdirect,transferred to fedex.com
macampbell,ausrcwa049,1 min,Café,Café,disconnect
macampbell,ausrcwa049,.5 min,Café,Café,disconnect
macampbell,ausrcwa049,.5 min,Café,Café,disconnect
