Reported Calls for: Jul-8-11am

Agent, Computer Name, Duration of Call, LOB, Type, Message,
dneal,ausrca0098,33 min,Café,Café,DG Ship assist
rmcneil,ausrca0229,30 min,FXRS,WIS,Return call tag
rhagemann,ausrca0050,26 min,FXRS,FSMS,1D Enablement
gdeharo,ausrcwa043,20 min,FXRS,WIS,issues getting test credentials
gdeharo,ausrcwa043,18 min,FXRS,WIS,register for production credentials
macampbell,ausrcwa049,15 min,FXRS,WIS,Tech ticket for hardware
rhagemann,ausrca0050,13 min,Café,Café,PCA Email
gdeharo,ausrcwa043,13 min,FXRS,FXCT,ltl freight acct can't be validated
gdeharo,ausrcwa043,12 min,FXRS,WIS,printer issues
rhagemann,ausrca0050,12 min,Café,Café,Customize Fields
gdeharo,ausrcwa043,11 min,FXRS,FSMS,not communicating
gdeharo,ausrcwa043,9 min,Café,Café,hazmat shipment assistance
macampbell,ausrcwa049,5 min,FXRS,WIS,Get production credentials
macampbell,ausrcwa049,5 min,Café,Café,FSM downloaded from IE corrupt
gdeharo,ausrcwa043,4 min,FXRS,Misdirect,revenue services call
gdeharo,ausrcwa043,4 min,Café,Café,monitor issues created tech ticket
macampbell,ausrcwa049,1 min,FXRS,WIS,disconnect
