Reported Calls for: Jul-8-8am

Agent, Computer Name, Duration of Call, LOB, Type, Message,
rmcneil,ausrca0229,48 min,Café,Café,Update software
gdeharo,ausrcwa043,31 min,FXRS,FSMS,comm issues IT dept needed
macampbell,ausrcwa049,30 min,Café,Café,Repair software
rhagemann,ausrca0050,18 min,FXRS,FSMS,HUF not uploading
rhagemann,ausrca0050,9 min,FXRS,WIS,Rate Details
rhagemann,ausrca0050,9 min,FXRS,WIS,DRC Registration
chkelley,ausrca0055,8 min,FXRS,FSMS,previous call follow up
chkelley,ausrca0055,8 min,Café,Café,new install
gdeharo,ausrcwa043,7 min,Café,Café,software wouldn't load ran stop svc
chkelley,ausrca0055,6 min,FXRS,WIS,registration
rhagemann,ausrca0050,3 min,FXRS,WIS,Issues with Rates / AE
rhagemann,ausrca0050,3 min,FXRS,Misdirect,Dotcom
rhagemann,ausrca0050,1.5 min,FXRS,WIS,Test Creds
gdeharo,ausrcwa043,1 min,FXRS,FSMS,testing fxrs line
