Reported Calls for: Jun-10-2pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
dneal,ausrca0098,41 min,FXRS,FXCT,Batch transit times
rhagemann,ausrca0054,37 min,Café,Café,CSV Import Assist
chkelley,ausrca0055,35 min,Café,Café,printer install
cdriskell,ausrca0064,26 min,Café,Café,Shipments auto-delete, no labels
rhagemann,ausrca0054,21 min,FXRS,FXCT,Dimensional Issue
rhagemann,ausrca0054,15 min,FXRS,WIS,Rating Issue
chkelley,ausrca0055,10 min,Café,Café,writing as deleted
rhagemann,ausrca0054,8.5 min,Café,Café,Shipping Profile Assist
chkelley,ausrca0055,8 min,FXRS,Café,writing as deleted
chkelley,ausrca0055,6 min,FXRS,Café,new install
sroberts,ausrca0072,3 min,Café,Misdirect,Transfer to Dot Com
rhagemann,ausrca0054,2.5 min,Café,Café,Return Address
sroberts,ausrca0072,2 min,Café,Café,Cust. Disconnected
rhagemann,ausrca0054,2 min,FXRS,FXCT,Call Dropped
rhagemann,ausrca0054,1 min,Café,Café,EEI Requirement
rhagemann,ausrca0054,1 min,Café,Café,Cust Disconnect
rhagemann,ausrca0054,1 min,Café,Misdirect,Dotcom Printer
