Reported Calls for: Jun-13-11am

Agent, Computer Name, Duration of Call, LOB, Type, Message,
rhagemann,ausrca0054,52 min,FXRS,FSMS,Bad Dimensions
dneal,ausrca0098,51 min,FXRS,FSMS,McAfee stops shipmanager service
dneal,ausrca0098,36 min,FXRS,Café,Clean load
macampbell,ausrcwa049,15 min,FXRS,FSMS,URSA not implementing
rhagemann,ausrca0054,14 min,FXRS,FSMS,EPDI Issues
rhagemann,ausrca0054,13 min,FXRS,FSMS,Documentation
rhagemann,ausrca0054,11 min,Café,Café,Barcoded DocTab
rhagemann,ausrca0054,8 min,FXRS,WIS,Rate Table Request
macampbell,ausrcwa049,7 min,FXRS,FXCT,Help with FXCT
macampbell,ausrcwa049,7 min,FXRS,WIS,Get production credentials
macampbell,ausrcwa049,6 min,FXRS,WIS,Get production credentials
cdriskell,ausrca0064,6 min,FXRS,FSMS,Turn on 1D barcode
macampbell,ausrcwa049,5 min,FXRS,FXCT,Help with FXCT
rhagemann,ausrca0054,4 min,FXRS,Misdirect,ACE
jpinion,ausrca0056,3 min,FXRS,Misdirect,to billing
rhagemann,ausrca0054,2 min,FXRS,Misdirect,Domestic Pickup
rhagemann,ausrca0054,1 min,FXRS,WIS,Disconnected
