Reported Calls for: Jun-23-12pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
dneal,ausrca0098,58 min,Café,Café,Clean Load
anewman,ausrca0054,25 min,FXRS,FSMS,Admin services not running
macampbell,ausrcwa049.austx.ad.harte-hanks.com,24 min,FXRS,FSMS,Tracking # ranges not implementing
chkelley,ausrca0055,15 min,FXRS,Café,client not opening
chkelley,ausrca0055,15 min,FXRS,FXCT,unable to get rate
anewman,ausrca0054,11 min,FXRS,WIS,Registration for Production key
rmcneil,ausrca0229.austx.ad.harte-hanks.com,10 min,FXRS,FXCT,Needed code
chkelley,ausrca0055,10 min,FXRS,Café,client not opening
chkelley,ausrca0055,9 min,FXRS,FXCT,unable to get rate
anewman,ausrca0054,8 min,Café,Café,Track shipment from ship history
macampbell,ausrcwa049.austx.ad.harte-hanks.com,1.5 min,FXRS,Misdirect,transferred to cust service
