Reported Calls for: Jun-27-12pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
rmcneil,ausrca0229.austx.ad.harte-hanks.com,12 min,FXRS,FSMS,Currency question
gdeharo,ausrcwa043,12 min,Café,Café,international document shipment
gdeharo,ausrcwa043,12 min,FXRS,WIS,certification for shipping request
chkelley,ausrca0055,10 min,Café,FSMS,software download request
macampbell,ausrcwa049.austx.ad.harte-hanks.com,10 min,FXRS,WIS,Get production credentials
macampbell,ausrcwa049.austx.ad.harte-hanks.com,10 min,Café,Café,Meter suspect for validation fail
gdeharo,ausrcwa043,9 min,FXRS,FXCT,can't generate key for install
macampbell,ausrcwa049.austx.ad.harte-hanks.com,8.5 min,Café,Café,IT needed for comms
gdeharo,ausrcwa043,7 min,Café,Misdirect,revenue service call
rmcneil,ausrca0229.austx.ad.harte-hanks.com,6 min,Café,Café,Run a repair on software
jpinion,ausrca0227,6 min,Café,Café,default setup
gdeharo,ausrcwa043,6 min,Café,Café,scale freezes not showing weight
gdeharo,ausrcwa043,5 min,FXRS,Misdirect,customer service call
macampbell,ausrcwa049.austx.ad.harte-hanks.com,5 min,FXRS,FSMS,Transedit errors
chkelley,ausrca0055,4 min,FXRS,FSMS,1d enablement
macampbell,ausrcwa049.austx.ad.harte-hanks.com,4 min,FXRS,WIS,General WIS questions
gdeharo,ausrcwa043,4 min,FXRS,FSMS,add acct to system
gdeharo,ausrcwa043,4 min,Café,Café,service type question
gdeharo,ausrcwa043,3 min,FXRS,Misdirect,dot com caller
gdeharo,ausrcwa043,3 min,FXRS,Misdirect,customer service call
jpinion,ausrca0227,3 min,FXRS,Misdirect,to dot.com
gdeharo,ausrcwa043,3 min,FXRS,FSMS,hp printer issue
chkelley,ausrca0055,2 min,FXRS,Misdirect,.com
macampbell,ausrcwa049.austx.ad.harte-hanks.com,2 min,FXRS,Misdirect,transferred to fedex.com
rmcneil,ausrca0229.austx.ad.harte-hanks.com,1.5 min,FXRS,FXCT,Caller dropped call
macampbell,ausrcwa049.austx.ad.harte-hanks.com,1 min,Café,Café,disconnect
