Reported Calls for: Jun-27-2pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
rmcneil,ausrca0229.austx.ad.harte-hanks.com,51 min,FXRS,WIS,Error 1000 then 556
rhagemann,ausrca0050,24 min,FXRS,Café,Comms Down / URSA DL Failed
sroberts,ausrca0072,24 min,FXRS,Café,Assisted w/printer driver issue
rhagemann,ausrca0050,18 min,Café,Café,Printer Alignment
gdeharo,ausrcwa043,17 min,Café,Café,issue with international shipment
rhagemann,ausrca0050,13 min,Café,Café,Ship Date is invalid
macampbell,ausrcwa049.austx.ad.harte-hanks.com,12 min,FXRS,WIS,Get production credentials
rhagemann,ausrca0050,10 min,FXRS,WIS,AV Enablement Question
macampbell,ausrcwa049.austx.ad.harte-hanks.com,10 min,FXRS,WIS,Get production credentials
gdeharo,ausrcwa043,9 min,FXRS,Café,How to change carrier International ship
anewman,ausrca0054,7 min,Café,Café,FXIA
gdeharo,ausrcwa043,6 min,Café,Misdirect,issue with gta or would have kept call
rhagemann,ausrca0050,4 min,FXRS,WIS,Meter Reg Failure
sroberts,ausrca0072,4 min,FXRS,Misdirect,DG Hotline Transfer
rhagemann,ausrca0050,2.5 min,FXRS,FSMS,Address Issue
rhagemann,ausrca0050,1 min,FXRS,WIS,Canadian WIS
