Reported Calls for: Jun-29-3pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
rmcneil,ausrca0229.austx.ad.harte-hanks.com,64 min,Café,Café,Software failed registration
macampbell,ausrcwa049.austx.ad.harte-hanks.com,13 min,FXRS,WIS,WIS registration/certification questions
jpinion,ausrca0227,11 min,FXRS,WIS,new creds setup
rhagemann,ausrca0050,11 min,Café,Café,Client Install
macampbell,ausrcwa049.austx.ad.harte-hanks.com,11 min,Café,Café,Download rates
macampbell,ausrcwa049.austx.ad.harte-hanks.com,10 min,FXRS,WIS,Get production credentials
rhagemann,ausrca0050,9 min,FXRS,WIS,DRC Reg
sroberts,ausrca0072,9 min,FXRS,FSMS,Assisted w/Address Issue
macampbell,ausrcwa049.austx.ad.harte-hanks.com,8 min,Café,Café,Tech ticket
gdeharo,ausrcwa043,8 min,FXRS,WIS,certified for shipping
rhagemann,ausrca0050,7.5 min,FXRS,Café,Client Config
macampbell,ausrcwa049.austx.ad.harte-hanks.com,7 min,FXRS,WIS,Troubleshoot zp 505
rhagemann,ausrca0050,4 min,FXRS,Misdirect,Dotcom
sroberts,ausrca0072,4 min,Café,Café,Assisted w/Tax I.D. Issue
rhagemann,ausrca0050,3 min,FXRS,Misdirect,Dotcom
rhagemann,ausrca0050,.1 min,FXRS,Misdirect,AE LINE / Disconnect
