Reported Calls for: Jun-30-11am

Agent, Computer Name, Duration of Call, LOB, Type, Message,
mbarth,auswrca0230,45 min,FXRS,FSMS,ursa
gdeharo,ausrcwa043,36 min,Café,Café,issue with host/client system
rmcneil,ausrca0229.austx.ad.harte-hanks.com,19 min,Café,Café,Needed link and code
gdeharo,ausrcwa043,12 min,FXRS,WIS,issue with getting transaction to send
macampbell,ausrcwa049.austx.ad.harte-hanks.com,8 min,Café,Café,Acct validation fail, cust call back
gdeharo,ausrcwa043,8 min,FXRS,FSMS,invalid tracking range not loaded
gdeharo,ausrcwa043,8 min,Café,Café,previous case status
gdeharo,ausrcwa043,7 min,FXRS,FSMS,Testing server worked
macampbell,ausrcwa049.austx.ad.harte-hanks.com,6 min,FXRS,FSMS,FSMS general questions
macampbell,ausrcwa049.austx.ad.harte-hanks.com,5 min,Café,Café,Email returns
gdeharo,ausrcwa043,3 min,FXRS,Misdirect,customer service
