Reported Calls for: Jun-8-11am

Agent, Computer Name, Duration of Call, LOB, Type, Message,
chkelley,ausrca0055,150 min,Café,Café,database import of large file
gdeharo,ausrca0227,23 min,Café,Café,software download request/install
gdeharo,ausrca0227,23 min,FXRS,FSMS,add master meter to fxrs/open ship
cdriskell,ausrca0064,22 min,FXRS,WIS,No discounts showing
mbarth,ausrca0058,15 min,Café,Café,db corrupt
gdeharo,ausrca0227,15 min,FXRS,FSMS,zm400 printer issues
macampbell,ausrcwa049,13 min,Café,Café,Acct validation successful
gdeharo,ausrca0227,12 min,Café,Café,export/import address book to new cafe
gdeharo,ausrca0227,12 min,FXRS,FSMS,issue with labels
mbarth,ausrca0058,10 min,FXRS,FSMS,work station comms
gdeharo,ausrca0227,10 min,Café,Café,fxi not working had to reinstall fxi
gdeharo,ausrca0227,8 min,FXRS,FSMS,printer issue tech ticket needed
cdriskell,ausrca0064,6 min,Café,Café,DB backup
cdriskell,ausrca0064,6 min,FXRS,WIS,No Gnd svc
macampbell,ausrcwa049,5 min,Café,Café,Edit sender address
mbarth,ausrca0058,5 min,Café,Café,tech tix printer
mbarth,ausrca0058,5 min,FXRS,Café,network client
mbarth,ausrca0058,5 min,Café,Café,puerto rico
mbarth,ausrca0058,5 min,Café,Café,fxi
gdeharo,ausrca0227,4 min,FXRS,WIS,general questions showed him DRC
cdriskell,ausrca0064,4 min,Café,Café,Change label format
macampbell,ausrcwa049,2 min,Café,Misdirect,transferred to fedex.com
mbarth,ausrca0058,1 min,FXRS,WIS,ae notification
