Reported Calls for: Mar-10-2pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
rmcneil,ausrcwa059,82 min,FXRS,FSMS,International meter numbers
rhagemann,ausrca0054,50 min,Café,Café,FSM won't launch
rmanley,ausrca0070,45 min,FXRS,FSMS,ship manager service failed
sroberts,ausrca0074,20 min,Café,Café,Assisted w/Setting Defaults
dneal,ausrca0098,15 min,FXRS,FSMS,Admin service issue
cdriskell,ausrca0064,10 min,FXRS,Café,ZP505 setup
rhagemann,ausrca0054,10 min,FXRS,Misdirect,Domestic Transfer / Pickup
rhagemann,ausrca0054,9 min,Café,Misdirect,Dotcom
sroberts,ausrca0074,7 min,FXRS,WIS,Answered ? re: TLS e-mail
rhagemann,ausrca0054,6 min,FXRS,WIS,Cert Inquiry
rhagemann,ausrca0054,6 min,FXRS,WIS,Test Creds
cdriskell,ausrca0064,3 min,FXRS,WIS,WIS/fedex.com outage
cdriskell,ausrca0064,2 min,FXRS,WIS,WIS/fedex.com outage
rhagemann,ausrca0054,2 min,FXRS,Misdirect,Dotcom
cdriskell,ausrca0064,2 min,FXRS,WIS,WIS/fedex.com outage
cdriskell,ausrca0064,2 min,FXRS,WIS,WIS/fedex.com outage
rhagemann,ausrca0054,2 min,FXRS,Misdirect,Dotcom
rhagemann,ausrca0054,2 min,Café,Misdirect,Dotcom
rhagemann,ausrca0054,2 min,FXRS,Misdirect,Dotcom
cdriskell,ausrca0064,2 min,FXRS,WIS,WIS/fedex.com outage
cdriskell,ausrca0064,2 min,Café,WIS,WIS/fedex.com outage
cdriskell,ausrca0064,2 min,FXRS,WIS,WIS/fedex.com outage
rhagemann,ausrca0054,2 min,FXRS,Misdirect,Dotcom Disruption
cdriskell,ausrca0064,2 min,FXRS,WIS,WIS/fedex.com outage
cdriskell,ausrca0064,2 min,FXRS,WIS,WIS/fedex.com outage
