Reported Calls for: Mar-15-11am

Agent, Computer Name, Duration of Call, LOB, Type, Message,
ahendon,ausrca0069,40 min,FXRS,FSMS,meter reloaded and configured error 2022
dneal,ausrca0098,36 min,FXRS,WIS,Transaction assistance
dneal,ausrca0098,18 min,FXRS,FXCT,Configuration assistance
aljohnson,ausrca0057,15 min,Café,Café,communications issue
rhagemann,ausrca0054,13 min,FXRS,FXCT,Compare against Invoice
jpinion,ausrca0056,11 min,FXRS,FSMS,issues with scan guns
mbarth,ausrca0058,10 min,FXRS,FSMS,ursa
ahendon,ausrca0069,10 min,FXRS,WIS,Certification request
mbarth,ausrca0058,10 min,FXRS,WIS,wis consultation
jpinion,ausrca0056,10 min,Café,Café,FXIA setting for MPS
cdriskell,ausrca0064,10 min,FXRS,FSMS,Corrected rating transaction
dneal,ausrca0098,10 min,FXRS,WIS,WS Credential questions
rhagemann,ausrca0054,9 min,FXRS,FXCT,Cust download FSM instead of FXCT
rmanley,ausrca0070,8 min,FXRS,FSMS,register new meter
rmanley,ausrca0070,7 min,FXRS,FSMS,change name on config page
cdriskell,ausrca0064,6 min,FXRS,Café,tech ticket dead BPU
rmcneil,ausrcwa059,5.3 min,FXRS,FSMS,Called for case number
mbarth,ausrca0058,5 min,FXRS,WIS,rates
aljohnson,ausrca0057,5 min,FXRS,FSMS,fxct install
mbarth,ausrca0058,5 min,FXRS,WIS,csp
dneal,ausrca0098,5 min,FXRS,FSMS,Meter registration assist
rmanley,ausrca0070,5 min,Café,Café,Needs postal code for KR
dneal,ausrca0098,4 min,FXRS,FSMS,Printer issue
rhagemann,ausrca0054,3 min,FXRS,WIS,Bad Password
aljohnson,ausrca0057,3 min,FXRS,FSMS,general info for wis
mbarth,ausrca0058,3 min,FXRS,Misdirect,needs .com
rhagemann,ausrca0054,2.5 min,FXRS,FSMS,Event Viewer
mbarth,ausrca0058,2 min,FXRS,Misdirect,needs intl cust serv
mbarth,ausrca0058,2 min,FXRS,Misdirect,needs .com
rmanley,ausrca0070,2 min,Café,Misdirect,transferred to dotcom
rhagemann,ausrca0054,1 min,FXRS,Misdirect,EDI Support
