Reported Calls for: Mar-17-12pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
rmanley,ausrca0070,40 min,Café,Café,no express rates
gdeharo,auscrwfxrs3,23 min,FXRS,FSMS,comm issue
cdriskell,ausrca0064,20 min,FXRS,Café,incorrect rates
rhagemann,ausrca0054,18 min,FXRS,WIS,Hitting test instead of production
gdeharo,auscrwfxrs3,16 min,Café,WIS,quick books issue with print out
rhagemann,ausrca0054,13 min,FXRS,FSMS,AV on 1009 / Not Possible
rmcneil,ausrcwa059,12 min,FXRS,WIS,Gave information
rmcneil,ausrcwa059,10 min,Café,Café,Rate download
wcrosby,ausrca0071,10 min,Café,Café,ltl freight  label stock error
cdriskell,ausrca0064,10 min,FXRS,WIS,WIS Certification request
cdriskell,ausrca0064,10 min,Café,Café,Acct validation for prod key
wcrosby,ausrca0071,10 min,FXRS,WIS,wis  key and password
gdeharo,auscrwfxrs3,9 min,FXRS,WIS,register for credentials
gdeharo,auscrwfxrs3,8 min,FXRS,WIS,general questions about web svrs
gdeharo,auscrwfxrs3,6 min,FXRS,WIS,register for credentials
rmcneil,ausrcwa059,5 min,FXRS,Misdirect,dot.com
wcrosby,ausrca0071,5 min,Café,Café,customize form  dg
wcrosby,ausrca0071,5 min,FXRS,FSMS,ace team transfer
rhagemann,ausrca0054,3 min,FXRS,FSMS,TLS Update
wcrosby,ausrca0071,3 min,Café,Misdirect,.com
gdeharo,auscrwfxrs3,3 min,FXRS,Misdirect,dot com caller
rmcneil,ausrcwa059,2.1 min,Café,Café,LTL report
gdeharo,auscrwfxrs3,2 min,FXRS,Misdirect,dot com caller
rhagemann,ausrca0054,2 min,FXRS,FXCT,Dropped Line
rhagemann,ausrca0054,2 min,FXRS,Misdirect,Dotcom Transfer
rmcneil,ausrcwa059,2 min,FXRS,Misdirect,Wrong que dot.com
rhagemann,ausrca0054,2 min,Café,Misdirect,Tracking / Cust Srvc
rmcneil,ausrcwa059,1.2 min,FXRS,Café,Client hung up
rhagemann,ausrca0054,1 min,FXRS,Misdirect,DeadLine
