Reported Calls for: Mar-18-7am

Agent, Computer Name, Duration of Call, LOB, Type, Message,
rmanley,ausrca0070,60 min,FXRS,FSMS,services wont start
rmcneil,ausrcwa059,34 min,Café,Café,Web form
rhagemann,ausrca0054,19 min,Café,Café,Customs Documents
rhagemann,ausrca0054,17 min,FXRS,FSMS,SmartPost / No Comms
rhagemann,ausrca0054,15 min,FXRS,FSMS,Wants FSMS
rmcneil,ausrcwa059,14 min,FXRS,Café,Flashing red and green printer
rhagemann,ausrca0054,13 min,FXRS,Café,ODBC on Client
rhagemann,ausrca0054,12 min,FXRS,WIS,AV Questions
sroberts,ausrca0074,11 min,Café,Café,Assisted w/e-mail Return Label
sroberts,ausrca0074,10 min,FXRS,FSMS,Invalid Tracking Range/Not Loaded
rhagemann,ausrca0054,8 min,Café,Café,International MPS
sroberts,ausrca0074,7 min,Café,Café,Assisted w/Printer Dump
rhagemann,ausrca0054,6 min,Café,FSMS,Printer Cleaning
sroberts,ausrca0074,5 min,Café,Misdirect,Dot Com Transfer
rmcneil,ausrcwa059,4.4 min,Café,Café,Flat rates
rhagemann,ausrca0054,4 min,Café,Misdirect,Transfer to Office Tech
rhagemann,ausrca0054,3 min,FXRS,FSMS,Address Checker
rmcneil,ausrcwa059,2.4 min,FXRS,Café,Ran out of tracking numbers
sroberts,ausrca0074,2 min,Café,Café,Poor Ph. Connection/Cust Called Back
rhagemann,ausrca0054,2 min,Café,Café,Declared Value
rhagemann,ausrca0054,1 min,FXRS,Misdirect,transfer to cafe / myself
rmcneil,ausrcwa059,1 min,Café,Misdirect,Wrong que
