Reported Calls for: Mar-28-2pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
wcrosby,ausrca0071,90 min,FXRS,Café,fsm corrupted and will not launch
sroberts,ausrca0074,24 min,Café,Café,Registration/com issue
rmcneil,ausrcwa059,22 min,FXRS,Misdirect,The hard ware was on fedex.com meter
sroberts,ausrca0074,16 min,Café,Café,Assist w/FSM install
jpinion,ausrca0056,13 min,Café,Café,issues with new software install
jpinion,ausrca0056,11 min,Café,Café,add new account to software
jpinion,ausrca0056,11 min,Café,Café,issues with LTL setup
sroberts,ausrca0074,11 min,FXRS,WIS,Certification Request
jpinion,ausrca0056,11 min,FXRS,FSMS,1501 OS support DRC and KB mismatch
rmcneil,ausrcwa059,11 min,Café,Café,Return a repaired product.
mbarth,ausrca0058,10 min,FXRS,FSMS,tracking numbers
sroberts,ausrca0074,10 min,Café,Café,Assisted CIC w/FXIA declared value
jpinion,ausrca0056,10 min,FXRS,Café,issues with printer setup tech
mbarth,ausrca0058,10 min,FXRS,FSMS,intl ship
rmcneil,ausrcwa059,10 min,FXRS,FXCT,Needed help with the accounts
rmcneil,ausrcwa059,8.3 min,Café,Café,No communicating dial up send tech
cdriskell,ausrca0064,8 min,Café,Café,Gnd COD setup
jpinion,ausrca0056,8 min,Café,Café,issues with LTL shipment
cdriskell,ausrca0064,7 min,FXRS,WIS,3P SW comm errors
jpinion,ausrca0056,7 min,FXRS,Café,issues with LTL shipping
rmcneil,ausrcwa059,6.4 min,Café,Café,Not able to register account
jpinion,ausrca0056,6 min,Café,Café,issues with sender
sroberts,ausrca0074,5 min,FXRS,Misdirect,Transfer to Revenue Svcs
jpinion,ausrca0056,3 min,Café,Café,issues with email returns
cdriskell,ausrca0064,3 min,Café,Café,GCT issue
rmcneil,ausrcwa059,1.1 min,Café,Misdirect,Dot.com agent try to transfer dot.com cu
jpinion,ausrca0056,1 min,Café,Café,lost call
