Reported Calls for: Mar-7-3pm,,,,,
,,,,,
Agent, Computer Name, Duration of Call, LOB, Type, Message
dneal,ausrca0098,48 min,FXRS,WIS,Install zp 500
dneal,ausrca0098,38 min,FXRS,FXCT,FXCT INSTALL AND CONFIGURE ACCOUNTS
dneal,ausrca0098,12 min,FXRS,WIS,Certification request
dneal,ausrca0098,8 min,Café,Café,No rates dl rates
jpinion,ausrca0056,14 min,FXRS,WIS,consultation request
jpinion,ausrca0056,9 min,FXRS,WIS,cert request
jpinion,ausrca0056,7 min,FXRS,WIS,issues with billing address
jpinion,ausrca0056,6 min,FXRS,WIS,issues with creds
jpinion,ausrca0056,5 min,FXRS,WIS,issues with express rating
jpinion,ausrca0056,4 min,FXRS,Misdirect,to LTL customer service
mbarth,ausrca0058,10 min,FXRS,WIS,bad input data
mbarth,ausrca0058,10 min,Café,Café,disconnect
mbarth,ausrca0058,7 min,FXRS,WIS,drc reg
mbarth,ausrca0058,5 min,FXRS,WIS,drc cert req
mbarth,ausrca0058,5 min,FXRS,WIS,drc cert
mbarth,ausrca0058,4 min,FXRS,Misdirect,needs cust serv
mbarth,ausrca0058,2 min,FXRS,Misdirect,needs .com
mbarth,ausrca0058,2 min,FXRS,Misdirect,needs .com
mbarth,ausrca0058,2 min,Café,Misdirect,needs .com
mbarth,ausrca0058,.5 min,FXRS,FSMS,disconect
rhagemann,ausrca0054,60 min,FXRS,WIS,SmartPost not showing up as an option
rhagemann,ausrca0054,30 min,FXRS,Misdirect,ACE Customer
rhagemann,ausrca0054,6 min,FXRS,WIS,Asking when Cert Emails should arrive
rhagemann,ausrca0054,5 min,FXRS,WIS,Test Creds registration
rhagemann,ausrca0054,3 min,FXRS,Misdirect,Email Label / Dotcom Transfer
rmcneil,ausrcwa059,64 min,FXRS,FSMS,Openship services not running
rmcneil,ausrcwa059,20 min,FXRS,WIS,BOL not used.
rmcneil,ausrcwa059,15 min,FXRS,WIS,Get creditials
rmcneil,ausrcwa059,9.3 min,FXRS,WIS,Needed to get a new LTL account
rmcneil,ausrcwa059,3 min,FXRS,WIS,Wanted to know if dot.com log in needed
rmcneil,ausrcwa059,1.3 min,FXRS,Misdirect,Customer service call
rmcneil,ausrcwa059,1.3 min,Café,Café,tls email.
sroberts,ausrca0074,25 min,FXRS,Café,Writing to Shipping List as Deleted issu
sroberts,ausrca0074,13 min,FXRS,WIS,Enabled AV per cust. Request
sroberts,ausrca0074,4 min,FXRS,Misdirect,Transfer to Dot Com
sroberts,ausrca0074,4 min,FXRS,WIS,CAT member disconnected
sroberts,ausrca0074,1 min,FXRS,FSMS,Empty Line/Disconnect
sseals,ausrca0060a,60 min,FXRS,FSMS,Incorrect Rates
sseals,ausrca0060a,30 min,FXRS,FSMS,Invalid Tracking Range Not Loaded
sseals,ausrca0060a,20 min,FXRS,Café,FXIA Configuration
sseals,ausrca0060a,9 min,FXRS,Café,Hardware Removal
sseals,ausrca0060a,9 min,FXRS,Café,Software Validation
sseals,ausrca0060a,1 min,FXRS,Misdirect,Fedex.com Transfer
wcrosby,ausrca0071,20 min,FXRS,FSMS,expired ursa on test xystem
wcrosby,ausrca0071,10 min,FXRS,Café,i intergration  errors
wcrosby,ausrca0071,5 min,FXRS,Café,printer issue
