Reported Calls for: May-11-2pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
wcrosby,ausrca0071,30 min,FXRS,WIS,wiss registration
rmcneil,ausrcwa059,28 min,Café,Café,Scale comm1 error
rhagemann,ausrca0054,27 min,FXRS,FXCT,FXCT Install and Configure
mbarth,ausrca0058,20 min,FXRS,WIS,drc reg
gdeharo,ausrca0227,17 min,FXRS,FXCT,fxct install assitance
sroberts,ausrca0074,16 min,FXRS,WIS,Assist w/Web Cert. Request
mbarth,ausrca0058,15 min,Café,Café,prod key req
rhagemann,ausrca0054,14 min,FXRS,WIS,Service Availability
sroberts,ausrca0074,13 min,FXRS,WIS,Helped caller get prod. creds
macampbell,ausrcwa049,10 min,Café,Café,Change LTL label preference
gdeharo,ausrca0227,9 min,FXRS,WIS,general questions about rates/dim
rhagemann,ausrca0054,8 min,Café,Café,Postal Code Issue
rmcneil,ausrcwa059,6.2 min,FXRS,FSMS,Smartpost
chkelley,ausrca0055,6 min,FXRS,FXCT,fxct new install
rhagemann,ausrca0054,5 min,FXRS,FXCT,Unable to rate LTL
mbarth,ausrca0058,5 min,Café,Café,PUERTO RICO RETURNS
rhagemann,ausrca0054,4 min,Café,Café,PK Request
chkelley,ausrca0055,4 min,FXRS,FSMS,expired ursa
rhagemann,ausrca0054,3 min,FXRS,WIS,Cust unable to get reply
rhagemann,ausrca0054,3 min,FXRS,Misdirect,Domestic
rhagemann,ausrca0054,2.5 min,FXRS,FXCT,Install Code
macampbell,ausrcwa049,2 min,FXRS,Misdirect,transferred to fedex.com
macampbell,ausrcwa049,.5 min,FXRS,FSMS,disconnect
