Reported Calls for: May-13-9am

Agent, Computer Name, Duration of Call, LOB, Type, Message,
mbarth,ausrca0058,35 min,FXRS,FSMS,rates
mbarth,ausrca0058,30 min,FXRS,WIS,needs printer isntalled
rmcneil,ausrcwa059,29 min,FXRS,Café,Add a company logo
chkelley,ausrca0055,15 min,FXRS,WIS,wis registration
rhagemann,ausrca0054,14 min,Café,Café,Reports
rhagemann,ausrca0054,12 min,FXRS,FSMS,Support Life Cycle
chkelley,ausrca0055,10 min,FXRS,FXCT,add a ltl account
sroberts,ausrca0074,7 min,FXRS,WIS,Assisted w/Billing Address Issue
rhagemann,ausrca0054,4.5 min,FXRS,FSMS,TLS Update
rhagemann,ausrca0054,2 min,FXRS,WIS,Production Registration
mbarth,ausrca0058,2 min,FXRS,Misdirect,needs .com
mbarth,ausrca0058,2 min,FXRS,Misdirect,needs .com
mbarth,ausrca0058,2 min,FXRS,Misdirect,needs cust serv
rmcneil,ausrcwa059,.13 min,FXRS,FSMS,Line test CIC
