Reported Calls for: May-16-8am

Agent, Computer Name, Duration of Call, LOB, Type, Message,
wcrosby,ausrca0071,10 min,FXRS,FXCT,install on new system
mbarth,ausrca0058,10 min,FXRS,WIS,cert questions
macampbell,ausrcwa049,7 min,Café,Café,PEP ZP 505
rmcneil,ausrcwa059,5 min,FXRS,Café,Wrong account number
mbarth,ausrca0058,5 min,FXRS,WIS,down wis
mbarth,ausrca0058,5 min,FXRS,WIS,web serv down
mbarth,ausrca0058,5 min,FXRS,WIS,down
macampbell,ausrcwa049,4 min,FXRS,WIS,Get test credentials
macampbell,ausrcwa049,3 min,FXRS,Misdirect,transferred to domestic
mbarth,ausrca0058,3 min,FXRS,WIS,serbvice outtage
chkelley,ausrca0055,3 min,FXRS,WIS,service outtage
chkelley,ausrca0055,3 min,FXRS,WIS,service outtage
chkelley,ausrca0055,3 min,FXRS,WIS,service outtage
chkelley,ausrca0055,3 min,FXRS,Café,service outtage
chkelley,ausrca0055,3 min,FXRS,WIS,service outtage
chkelley,ausrca0055,3 min,FXRS,WIS,service outtage
chkelley,ausrca0055,3 min,FXRS,WIS,service outtage
chkelley,ausrca0055,3 min,FXRS,WIS,service outtage
mbarth,ausrca0058,2 min,FXRS,Misdirect,ne3eds .com
mbarth,ausrca0058,2 min,FXRS,WIS,dowjn
rmcneil,ausrcwa059,1.3 min,Café,Café,Destroy the labels
macampbell,ausrcwa049,1 min,Café,Café,disconnect
