Reported Calls for: May-17-12pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
dneal,ausrca0098,64 min,Café,Café,clean load clean load clean load
gdeharo,ausrca0227,38 min,Café,Café,fxia import/export setup
macampbell,ausrcwa049,35 min,Café,Café,EOD transmission file error
mbarth,ausrca0058,30 min,FXRS,WIS,lookup trans
gdeharo,ausrca0227,29 min,FXRS,WIS,issues with rates matching dot com
gdeharo,ausrca0227,12 min,Café,Café,international returns
macampbell,ausrcwa049,10 min,FXRS,FSMS,change communication level
jpinion,ausrca0056,10 min,FXRS,FXCT,issues with install
gdeharo,ausrca0227,7 min,FXRS,WIS,questions about sig type
macampbell,ausrcwa049,5 min,FXRS,FXCT,rate mismatch with fedex.com
macampbell,ausrcwa049,5 min,FXRS,WIS,Certification Inquiry
jpinion,ausrca0056,5 min,FXRS,WIS,new cert request
gdeharo,ausrca0227,3 min,FXRS,FSMS,won't download rates comm issue
macampbell,ausrcwa049,2 min,FXRS,Misdirect,transferred to domestic
macampbell,ausrcwa049,1 min,FXRS,FSMS,disconnect
macampbell,ausrcwa049,1 min,Café,Café,disconnect
