Reported Calls for: May-17-9am

Agent, Computer Name, Duration of Call, LOB, Type, Message,
dneal,ausrca0098,58 min,Café,Café,Repair software
macampbell,ausrcwa049,47 min,Café,Café,Install network-client setup
rmcneil,ausrcwa059,27 min,Café,Café,Needed link and product code
wcrosby,ausrca0071,15 min,FXRS,FSMS,comms down
macampbell,ausrcwa049,11 min,Café,Café,Transfer/restore databases
wcrosby,ausrca0071,10 min,Café,Café,-i integartion
wcrosby,ausrca0071,10 min,FXRS,WIS,printer feeding extra labels
mbarth,ausrca0058,10 min,FXRS,WIS,drc reg
gdeharo,ausrca0227,10 min,FXRS,FSMS,solution type needed to be updated.
chkelley,ausrca0055,9 min,Café,Café,Dg paperwork not printing
macampbell,ausrcwa049,8 min,Café,Café,Help print 1421C
chkelley,ausrca0055,7 min,FXRS,FSMS,cic work request
rmcneil,ausrcwa059,6.1 min,FXRS,FSMS,URSA expired IT not at site
gdeharo,ausrca0227,6 min,FXRS,FSMS,delivery times
wcrosby,ausrca0071,5 min,FXRS,WIS,cust need the carrrier track #
mbarth,ausrca0058,5 min,FXRS,FXCT,ltl accounts
chkelley,ausrca0055,5 min,FXRS,WIS,error 1000
chkelley,ausrca0055,4 min,FXRS,FXCT,product key
macampbell,ausrcwa049,2 min,FXRS,Misdirect,transferred to fedex.com
gdeharo,ausrca0227,2 min,FXRS,Misdirect,dot com caller
macampbell,ausrcwa049,1 min,FXRS,FSMS,disconnect
